"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit_bus","time_transit_train","time_waiting","n_changes","distance_total","distance_walk","distance_bus","distance_train","stop_PC6"
"2566","2531V",52.08079,4.252308,52.0548564711263,4.30164930928224,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2541R","2281",52.0430329074203,4.28099566871628,52.05724,4.341449,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531X","5143",52.0564879845059,4.29763546300736,51.68121,5.091089,1,0,166.4,29.6,50.3,63,23.4,3,133.7,2,23.6,108.2,"2533SR"
"2531V","2573",52.0548564711263,4.30164930928224,52.06537,4.284134,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2573","2531V",52.06537,4.284134,52.0548564711263,4.30164930928224,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531X","2596",52.0564879845059,4.29763546300736,52.09274,4.319509,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2596","2531X",52.09274,4.319509,52.0564879845059,4.29763546300736,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2523","2545H",52.05678,4.319141,52.04369,4.282732,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2491","2531E",52.06734,4.384688,52.0534049735869,4.29952365154343,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531S","4284",52.0566910715675,4.30682838231389,51.80003,5.0086,1,0,141.7,18.5,37.3,63,22.8,3,87.2,1.3,19.7,66.3,"2531AN"
"4284","2531S",51.80003,5.0086,52.0566910715675,4.30682838231389,0,1,140.3,14,53,43,30.3,4,108.6,0.9,41.4,66.3,"2532CP"
"2531A","3013",52.0572754569254,4.29968548273034,51.92432,4.469669,1,0,33.7,12.7,0,21,0,0,21.5,0.9,0,20.7,"2532CP"
"3013","2531A",51.92432,4.469669,52.0572754569254,4.29968548273034,0,1,34.7,13.7,0,21,0,0,21.6,0.9,0,20.7,"2532CP"
"2564","2533V",52.06811,4.258003,52.0502735545728,4.28958147252202,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531E","2573",52.0534049735869,4.29952365154343,52.06537,4.284134,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2573","2531E",52.06537,4.284134,52.0534049735869,4.29952365154343,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2544J","2281",52.0450156297235,4.25830282422894,52.05724,4.341449,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
