"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit_bus","time_transit_train","time_waiting","n_changes","distance_total","distance_walk","distance_bus","distance_train","stop_PC6"
"2572","2531X",52.06443,4.29356,52.0564879845059,4.29763546300736,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531A","2286",52.0572754569254,4.29968548273034,52.02374,4.315525,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2286","2531A",52.02374,4.315525,52.0572754569254,4.29968548273034,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2533S","2524",52.0553882189754,4.28645029912797,52.05296,4.313358,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2515","2544E",52.0727,4.321192,52.0464828004557,4.25028829153627,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531S","2491",52.0566910715675,4.30682838231389,52.06734,4.384688,1,0,42,24.7,5.8,6,5.4,2,9.7,1.7,4.2,3.8,"2532CP"
"2491","2531S",52.06734,4.384688,52.0566910715675,4.30682838231389,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531S","2571",52.0566910715675,4.30682838231389,52.06937,4.286918,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2571","2531S",52.06937,4.286918,52.0566910715675,4.30682838231389,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531E","2566",52.0534049735869,4.29952365154343,52.08079,4.252308,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2566","2531E",52.08079,4.252308,52.0534049735869,4.29952365154343,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531V","3011",52.0548564711263,4.30164930928224,51.91868,4.487522,1,0,39.4,13.4,0,26,0,0,23.2,0.9,0,22.3,"2532CP"
"2562","2531S",52.07473,4.281926,52.0566910715675,4.30682838231389,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531S","8375",52.0566910715675,4.30682838231389,52.82541,5.957225,1,0,218.8,29,27,139,23.7,2,220,2.1,18.2,199.7,"2532CP"
"2533C","2491",52.0487353984816,4.29328303683979,52.06734,4.384688,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531C","2517",52.0558279026928,4.29833090580325,52.08726,4.285609,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2517","2531C",52.08726,4.285609,52.0558279026928,4.29833090580325,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531A","2596",52.0572754569254,4.29968548273034,52.09274,4.319509,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2596","2531A",52.09274,4.319509,52.0572754569254,4.29968548273034,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531A","2515",52.0572754569254,4.29968548273034,52.0727,4.321192,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2515","2531A",52.0727,4.321192,52.0572754569254,4.29968548273034,0,1,19.6,16.6,0,3,0,0,3.2,1.1,0,2.1,"2532CP"
"2282","2531V",52.0519,4.334647,52.0548564711263,4.30164930928224,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2532C","2291",52.0527610273069,4.30393289541152,52.01948,4.277017,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531B","2562",52.0554542033459,4.29605895548404,52.07473,4.281926,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2562","2531B",52.07473,4.281926,52.0554542033459,4.29605895548404,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531S","2574",52.0566910715675,4.30682838231389,52.06384,4.277853,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2574","2531S",52.06384,4.277853,52.0566910715675,4.30682838231389,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"3011","2531V",51.91868,4.487522,52.0548564711263,4.30164930928224,0,1,43.4,18.4,0,25,0,0,23.6,1.3,0,22.3,"2532CP"
"2531B","2597",52.0554542033459,4.29605895548404,52.10758,4.313337,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2597","2531B",52.10758,4.313337,52.0554542033459,4.29605895548404,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531C","2522",52.0558279026928,4.29833090580325,52.06038,4.327274,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2522","2531C",52.06038,4.327274,52.0558279026928,4.29833090580325,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531C","2523",52.0558279026928,4.29833090580325,52.05678,4.319141,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2523","2531C",52.05678,4.319141,52.0558279026928,4.29833090580325,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2841","2531B",51.99825,4.652384,52.0554542033459,4.29605895548404,0,1,99,31.1,36,23,8.9,2,39.6,2.3,12.2,25.1,"2531AV"
"2531A","2522",52.0572754569254,4.29968548273034,52.06038,4.327274,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2522","2531A",52.06038,4.327274,52.0572754569254,4.29968548273034,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531V","1312",52.0548564711263,4.30164930928224,52.37587,5.189835,1,0,108.7,19.1,6.3,67,16.4,2,87.2,1.3,3,82.9,"2532CP"
"2531V","5143",52.0548564711263,4.30164930928224,51.68121,5.091089,1,0,166.2,33.3,33,70,29.9,3,131.9,2.1,17.9,111.9,"2532CP"
"5143","2531V",51.68121,5.091089,52.0548564711263,4.30164930928224,0,1,144.2,32.9,32,57,22.3,3,108.7,2.4,18.6,87.7,"2532CP"
"2541R","2274",52.0430329074203,4.28099566871628,52.07387,4.350349,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531V","2566",52.0548564711263,4.30164930928224,52.08079,4.252308,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531C","2841",52.0558279026928,4.29833090580325,51.99825,4.652384,1,0,106.5,38.3,30.3,18,19.9,2,41.7,2.8,11,28,"2533SR"
"2841","2531C",51.99825,4.652384,52.0558279026928,4.29833090580325,0,1,96.2,29.1,35.2,23,8.9,2,38.9,2.1,11.7,25.1,"2531AV"
"2595","2531B",52.08087,4.334532,52.0554542033459,4.29605895548404,0,1,37.9,23.2,9.1,3,2.5,1,6.1,1.7,2.7,1.7,"2531AV"
"2531C","3011",52.0558279026928,4.29833090580325,51.91868,4.487522,1,0,41.5,15.5,0,26,0,0,23.4,1.1,0,22.3,"2532CP"
"3011","2531C",51.91868,4.487522,52.0558279026928,4.29833090580325,0,1,45.5,20.5,0,25,0,0,23.7,1.4,0,22.3,"2532CP"
"2531E","2512",52.0534049735869,4.29952365154343,52.07346,4.304762,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2512","2531E",52.07346,4.304762,52.0534049735869,4.29952365154343,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531S","3072",52.0566910715675,4.30682838231389,51.90211,4.489101,1,0,55.9,23.4,7.8,21,3.7,1,25.7,1.3,3.8,20.7,"2532CP"
"3072","2531S",51.90211,4.489101,52.0566910715675,4.30682838231389,0,1,59,24.8,8,22,4.2,1,26,1.4,4,20.7,"2532CP"
"8375","2531S",52.82541,5.957225,52.0566910715675,4.30682838231389,0,1,218.3,29.3,29,136,24,2,219.2,2.1,17.4,199.7,"2532CP"
