"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit_bus","time_transit_train","time_waiting","n_changes","distance_total","distance_walk","distance_bus","distance_train","stop_PC6"
"2544E","3011",52.0464828004557,4.25028829153627,51.9186808511441,4.48752217709765,1,0,67.2,22.1,17.4,23,4.7,2,27.8,1.6,5.7,20.5,"2545JT"
"2544E","2914",52.0464828004557,4.25028829153627,51.9767947275283,4.62177244927082,1,0,97.1,35.1,23,25,14,2,46.7,2.5,7.2,37,"2544WB"
"2914","2544E",51.9767947275283,4.62177244927082,52.0464828004557,4.25028829153627,0,1,115.9,39.1,27.1,26,23.8,3,49.3,2.7,9.6,37,"0"
"2544E","2516",52.0464828004557,4.25028829153627,52.067825882664,4.33840078455919,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2516","2544E",52.067825882664,4.33840078455919,52.0464828004557,4.25028829153627,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2544E","2517",52.0464828004557,4.25028829153627,52.0872564188756,4.2856091847331,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2517","2544E",52.0872564188756,4.2856091847331,52.0464828004557,4.25028829153627,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2544E","2652",52.0464828004557,4.25028829153627,51.990957546483,4.46054246453324,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2544E","2651",52.0464828004557,4.25028829153627,52.0023695961451,4.47092944934279,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2651","2544E",52.0023695961451,4.47092944934279,52.0464828004557,4.25028829153627,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2573","2544E",52.0653736707086,4.2841344796241,52.0464828004557,4.25028829153627,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2652","2544E",51.990957546483,4.46054246453324,52.0464828004557,4.25028829153627,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2544E","2593",52.0464828004557,4.25028829153627,52.085306948222,4.3427389060951,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2532B","2597",52.0471157905223,4.29792093747227,52.1075811993067,4.31333725310012,1,0,52.8,28.2,12.2,6,6.3,2,10,2,4.1,3.8,"2532CP"
"2544E","3316",52.0464828004557,4.25028829153627,51.7703317733928,4.63699057537182,1,0,132.6,44.3,37.4,43,7.9,3,58.1,3.2,16.2,38.7,"2545JT"
"2544E","1012",52.0464828004557,4.25028829153627,52.3745419294806,4.89602329086313,1,0,96.7,19.7,23.4,51,2.6,1,71.1,1.4,7.2,62.5,"2544WB"
"1012","2544E",52.3745419294806,4.89602329086313,52.0464828004557,4.25028829153627,0,1,99.7,21.2,26.8,49,2.7,1,72.5,1.5,10,61,"2544CX"
