"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW"
"2544E","2525",52.0464828004557,4.25028829153627,52.0623766403396,4.3033052949289,1,0
"2544N","3011",52.0342293799336,4.24498616242454,51.9186808511441,4.48752217709765,1,0
"3011","2544G",51.9186808511441,4.48752217709765,52.0425265562463,4.25954339365026,0,1
"2544E","3011",52.0464828004557,4.25028829153627,51.9186808511441,4.48752217709765,1,0
"2543B","2552",52.0408197781465,4.2614617830182,52.0545866758473,4.2477894574147,1,0
"2552","2544E",52.0545866758473,4.2477894574147,52.0464828004557,4.25028829153627,0,1
"2544E","2521",52.0464828004557,4.25028829153627,52.0632798215765,4.31842696216324,1,0
"2544E","2284",52.0464828004557,4.25028829153627,52.0411506488136,4.31303831421197,1,0
"2544E","2914",52.0464828004557,4.25028829153627,51.9767947275283,4.62177244927082,1,0
"2544E","2516",52.0464828004557,4.25028829153627,52.067825882664,4.33840078455919,1,0
"2544E","2584",52.0464828004557,4.25028829153627,52.1025819138378,4.2792955317052,1,0
"2544E","2511",52.0464828004557,4.25028829153627,52.0785132585966,4.31753919740833,1,0
"2544E","2553",52.0464828004557,4.25028829153627,52.0449285994492,4.22159102541476,1,0
"2544E","2517",52.0464828004557,4.25028829153627,52.0872564188756,4.2856091847331,1,0
"2544E","2713",52.0464828004557,4.25028829153627,52.0543751405353,4.48419861156592,1,0
"2544E","2583",52.0464828004557,4.25028829153627,52.0925355087995,4.25688384666547,1,0
"2544E","2628",52.0464828004557,4.25028829153627,52.0016877358709,4.37567931349905,1,0
"2544E","2652",52.0464828004557,4.25028829153627,51.990957546483,4.46054246453324,1,0
"2545G","2552",52.0492425239982,4.27529335026369,52.0545866758473,4.2477894574147,1,0
"2544E","2665",52.0464828004557,4.25028829153627,52.0225666626143,4.53454781516022,1,0
"2544E","2291",52.0464828004557,4.25028829153627,52.0194843486131,4.27701732485039,1,0
"2914","2543B",51.9767947275283,4.62177244927082,52.0408197781465,4.2614617830182,0,1
"2521","2543B",52.0632798215765,4.31842696216324,52.0408197781465,4.2614617830182,0,1
"2544E","2651",52.0464828004557,4.25028829153627,52.0023695961451,4.47092944934279,1,0
"2544E","2573",52.0464828004557,4.25028829153627,52.0653736707086,4.2841344796241,1,0
"2521","2542J",52.0632798215765,4.31842696216324,52.0385335010829,4.25810585554739,0,1
"2544E","2593",52.0464828004557,4.25028829153627,52.085306948222,4.3427389060951,1,0
"2521","2544G",52.0632798215765,4.31842696216324,52.0425265562463,4.25954339365026,0,1
"2544E","2597",52.0464828004557,4.25028829153627,52.1075811993067,4.31333725310012,1,0
"2532B","2597",52.0471157905223,4.29792093747227,52.1075811993067,4.31333725310012,1,0
"2544E","2671",52.0464828004557,4.25028829153627,51.9933244328362,4.20896630586213,1,0
"2544E","3316",52.0464828004557,4.25028829153627,51.7703317733928,4.63699057537182,1,0
"2544E","1012",52.0464828004557,4.25028829153627,52.3745419294806,4.89602329086313,1,0
"2544E","2512",52.0464828004557,4.25028829153627,52.073458639956,4.30476166899274,1,0
"2652","2543A",51.990957546483,4.46054246453324,52.0434639733693,4.26411809103701,0,1
"2543B","2284",52.0408197781465,4.2614617830182,52.0411506488136,4.31303831421197,1,0
"2544E","2547",52.0464828004557,4.25028829153627,52.0609273355566,4.26676183185173,1,0
"2544E","2585",52.0464828004557,4.25028829153627,52.0948730770626,4.29696375867616,1,0
"2544E","2681",52.0464828004557,4.25028829153627,52.0315882057369,4.1854653999259,1,0
"2665","2543B",52.0225666626143,4.53454781516022,52.0408197781465,4.2614617830182,0,1
"2544E","2382",52.0464828004557,4.25028829153627,52.1277601470763,4.52252326308057,1,0
"2544E","2591",52.0464828004557,4.25028829153627,52.0935039858362,4.36433362268645,1,0
"2546A","2563",52.0577480548941,4.27572687830032,52.0726961183115,4.27055559115989,1,0
"2563","2545G",52.0726961183115,4.27055559115989,52.0492425239982,4.27529335026369,0,1
"2546A","2564",52.0577480548941,4.27572687830032,52.0681123354441,4.25800296323022,1,0
"2546A","2573",52.0577480548941,4.27572687830032,52.0653736707086,4.2841344796241,1,0
"2546B","2596",52.0591161365999,4.27399671521609,52.0927435368403,4.31950877266799,1,0
"2571","2546B",52.069368236282,4.28691784001684,52.0591161365999,4.27399671521609,0,1
"2546B","2547",52.0591161365999,4.27399671521609,52.0609273355566,4.26676183185173,1,0
"2546B","2511",52.0591161365999,4.27399671521609,52.0785132585966,4.31753919740833,1,0
"2546S","2516",52.0578707378872,4.27105525072026,52.067825882664,4.33840078455919,1,0
"2512","2546S",52.073458639956,4.30476166899274,52.0578707378872,4.27105525072026,0,1
