"departure","arrival","departure_longitude","departure_latitude","arrival_longitude","arrival_latitude"
"2533L","2546B","4.273997","4.296128","52.05247","52.05912"
"2521","2545E","4.265062","4.318427","52.05389","52.06328"
"2542J","2545C","4.258106","4.265949","52.03853","52.05641"
"2533B","2545C","4.265949","4.284102","52.04869","52.05641"
"2543A","2546B","4.264118","4.273997","52.04346","52.05912"
"2546S","2565","4.258572","4.271055","52.05787","52.07543"
"2514","2546B","4.273997","4.308987","52.05912","52.08523"
"2533S","2546B","4.273997","4.286450","52.05539","52.05912"
"2544N","2546B","4.244986","4.273997","52.03423","52.05912"
"2544N","2584","4.244986","4.279296","52.03423","52.10258"
"2544E","2546R","4.250288","4.268876","52.04648","52.05706"
"2546R","2564","4.258003","4.268876","52.05706","52.06811"
"2545E","3521","4.265062","5.109406","52.05389","52.08331"
"2511","2545C","4.265949","4.317539","52.05641","52.07851"
"2545C","2548","4.265949","4.290399","52.02944","52.05641"
"2542E","2546S","4.267380","4.271055","52.03587","52.05787"
"2542J","2546S","4.258106","4.271055","52.03853","52.05787"
"2514","2546S","4.271055","4.308987","52.05787","52.08523"
"2546S","2555","4.225491","4.271055","52.05787","52.06100"
"2546B","2546E","4.271158","4.273997","52.05806","52.05912"
"2546R","2909","4.268876","4.545104","51.91413","52.05706"
"2245","2546R","4.268876","4.399369","52.05706","52.12127"
"2547","2909","4.266762","4.545104","51.91413","52.06093"
"2521","2546R","4.268876","4.318427","52.05706","52.06328"
"2544H","2545E","4.260587","4.265062","52.04580","52.05389"
"2544J","2545E","4.258303","4.265062","52.04502","52.05389"
"2516","2546S","4.271055","4.338401","52.05787","52.06783"
"2516","2545G","4.275293","4.338401","52.04924","52.06783"
"2546S","2573","4.271055","4.284134","52.05787","52.06537"
"2545C","2597","4.265949","4.313337","52.05641","52.10758"
"2545C","2545J","4.265949","4.273905","52.05018","52.05641"
"2545C","2552","4.247789","4.265949","52.05459","52.05641"
"2545H","2546R","4.268876","4.282732","52.04369","52.05706"
"2545G","2545H","4.275293","4.282732","52.04369","52.04924"
"2546E","2595","4.271158","4.334532","52.05806","52.08087"
"2521","2546E","4.271158","4.318427","52.05806","52.06328"
"2546T","2595","4.276004","4.334532","52.05926","52.08087"
"2544J","2546T","4.258303","4.276004","52.04502","52.05926"
"2545A","2546T","4.263082","4.276004","52.05302","52.05926"
"2546C","2565","4.258572","4.273469","52.05666","52.07543"
"2546C","2584","4.273469","4.279296","52.05666","52.10258"
"2542N","2546C","4.259759","4.273469","52.03313","52.05666"
"2545A","2547","4.263082","4.266762","52.05302","52.06093"
"2545A","2566","4.252308","4.263082","52.05302","52.08079"
"2545G","2547","4.266762","4.275293","52.04924","52.06093"
"2516","2545A","4.263082","4.338401","52.05302","52.06783"
"2533J","2546R","4.268876","4.293881","52.05090","52.05706"
"2543B","2546R","4.261462","4.268876","52.04082","52.05706"
"2546T","2563","4.270556","4.276004","52.05926","52.07270"
"2533C","2546T","4.276004","4.293283","52.04874","52.05926"
"2511","2533C","4.293283","4.317539","52.04874","52.07851"
"2511","2546T","4.276004","4.317539","52.05926","52.07851"
"2511","2545E","4.265062","4.317539","52.05389","52.07851"
"2545E","2681","4.185465","4.265062","52.03159","52.05389"
"2545E","2545N","4.265062","4.278895","52.04789","52.05389"
"2545E","2742","4.265062","4.625176","52.04480","52.05389"
"2546A","2546C","4.273469","4.275727","52.05666","52.05775"
"2552","2552","4.247789","4.247789","52.05459","52.05459"
"2533C","2545C","4.265949","4.293283","52.04874","52.05641"
"2545C","2593","4.265949","4.342739","52.05641","52.08531"
"2543B","2548","4.261462","4.290399","52.02944","52.04082"
"2543B","2545C","4.261462","4.265949","52.04082","52.05641"
"2546C","2616","4.273469","4.378230","52.01987","52.05666"
"2533A","2546V","4.275566","4.278652","52.05363","52.05969"
"2533A","2546E","4.271158","4.278652","52.05363","52.05806"
"2546E","2546V","4.271158","4.275566","52.05806","52.05969"
"2546C","2546X","4.273469","4.277613","52.05666","52.06074"
"2514","2546C","4.273469","4.308987","52.05666","52.08523"
"2545G","2546C","4.273469","4.275293","52.04924","52.05666"
"2545C","2711","4.265949","4.492151","52.05641","52.06161"
"2541X","2719","4.274327","4.471343","52.04267","52.05410"
"2544M","2719","4.251294","4.471343","52.03961","52.04267"
"2541X","2544M","4.251294","4.274327","52.03961","52.05410"
"2291","2541X","4.274327","4.277017","52.01948","52.05410"
"2541X","2685","4.223557","4.274327","52.02624","52.05410"
"2541X","2545G","4.274327","4.275293","52.04924","52.05410"
"2545A","2545G","4.263082","4.275293","52.04924","52.05302"
"1118","2545A","4.263082","4.760595","52.05302","52.30665"
"1118","2543B","4.261462","4.760595","52.04082","52.30665"
"2543B","2545A","4.261462","4.263082","52.04082","52.05302"
"2545A","2555","4.225491","4.263082","52.05302","52.06100"
"1171","2546E","4.271158","4.775848","52.05806","52.33033"
"2544N","2546E","4.244986","4.271158","52.03423","52.05806"
"2521","2545C","4.265949","4.318427","52.05641","52.06328"
"2544C","2546T","4.253386","4.276004","52.04675","52.05926"
"2546T","2552","4.247789","4.276004","52.05459","52.05926"
"2546T","2566","4.252308","4.276004","52.05926","52.08079"
"2546B","2546V","4.273997","4.275566","52.05912","52.05969"
"2544G","2546V","4.259543","4.275566","52.04253","52.05969"
"2542E","2546V","4.267380","4.275566","52.03587","52.05969"
"2544E","2546E","4.250288","4.271158","52.04648","52.05806"
"2512","2544J","4.258303","4.304762","52.04502","52.07346"
"2512","2546E","4.271158","4.304762","52.05806","52.07346"
"2544J","2546A","4.258303","4.275727","52.04502","52.05775"
"2533V","2546A","4.275727","4.289581","52.05027","52.05775"
"2545H","2546S","4.271055","4.282732","52.04369","52.05787"
"2543B","2546S","4.261462","4.271055","52.04082","52.05787"
"2542J","2555","4.225491","4.258106","52.03853","52.06100"
"2513","2545C","4.265949","4.302386","52.05641","52.07880"
"2513","2548","4.290399","4.302386","52.02944","52.07880"
"2545C","2572","4.265949","4.293560","52.05641","52.06443"
"2546X","2562","4.277613","4.281926","52.06074","52.07473"
"2533V","2546E","4.271158","4.289581","52.05027","52.05806"
"2516","2546B","4.273997","4.338401","52.05912","52.06783"
"2545H","2546B","4.273997","4.282732","52.04369","52.05912"
"2546V","2546X","4.275566","4.277613","52.05969","52.06074"
"2533H","2546X","4.277613","4.290701","52.04870","52.06074"
"2545E","2711","4.265062","4.492151","52.05389","52.06161"
"2545E","2593","4.265062","4.342739","52.05389","52.08531"
"2512","2545E","4.265062","4.304762","52.05389","52.07346"
"2546T","2593","4.276004","4.342739","52.05926","52.08531"
"2546T","2573","4.276004","4.284134","52.05926","52.06537"
"2546T","2546X","4.276004","4.277613","52.05926","52.06074"
"2533L","2546T","4.276004","4.296128","52.05247","52.05926"
"2545A","2548","4.263082","4.290399","52.02944","52.05302"
"2545A","2681","4.185465","4.263082","52.03159","52.05302"
"2546E","2722","4.271158","4.513164","52.05349","52.05806"
"2533S","2566","4.252308","4.286450","52.05539","52.08079"
"2533S","2546E","4.271158","4.286450","52.05539","52.05806"
"2546B","2546R","4.268876","4.273997","52.05706","52.05912"
"2546R","2573","4.268876","4.284134","52.05706","52.06537"
"2546R","2554","4.219691","4.268876","52.05706","52.06499"
"2546R","2546X","4.268876","4.277613","52.05706","52.06074"
"2544N","2546X","4.244986","4.277613","52.03423","52.06074"
"2546X","2564","4.258003","4.277613","52.06074","52.06811"
"2511","2546X","4.277613","4.317539","52.06074","52.07851"
"2533J","2546X","4.277613","4.293881","52.05090","52.06074"
"2333","2546V","4.275566","4.468049","52.05969","52.16816"
"2333","2547","4.266762","4.468049","52.06093","52.16816"
"2333","2533J","4.293881","4.468049","52.05090","52.16816"
"2533J","2546V","4.275566","4.293881","52.05090","52.05969"
"2546V","2571","4.275566","4.286918","52.05969","52.06937"
"2546A","2563","4.270556","4.275727","52.05775","52.07270"
"2546T","3012","4.276004","4.476193","51.91861","52.05926"
"2546B","2546T","4.273997","4.276004","52.05912","52.05926"
"2546T","2547","4.266762","4.276004","52.05926","52.06093"
"2545C","2546S","4.265949","4.271055","52.05641","52.05787"
"2516","2546A","4.275727","4.338401","52.05775","52.06783"
"2516","2552","4.247789","4.338401","52.05459","52.06783"
"2533C","2546A","4.275727","4.293283","52.04874","52.05775"
"2545A","2552","4.247789","4.263082","52.05302","52.05459"
"1435","2545A","4.263082","4.702336","52.05302","52.25945"
"2546C","2596","4.273469","4.319509","52.05666","52.09274"
"2543B","2564","4.258003","4.261462","52.04082","52.06811"
"2514","2545C","4.265949","4.308987","52.05641","52.08523"
"2514","2546X","4.277613","4.308987","52.06074","52.08523"
"2511","2514","4.308987","4.317539","52.07851","52.08523"
"2514","2547","4.266762","4.308987","52.06093","52.08523"
"2533L","2546X","4.277613","4.296128","52.05247","52.06074"
"2546B","2563","4.270556","4.273997","52.05912","52.07270"
"2546X","2563","4.270556","4.277613","52.06074","52.07270"
"2533S","2562","4.281926","4.286450","52.05539","52.07473"
"2552","2562","4.247789","4.281926","52.05459","52.07473"
"1119","2545C","4.265949","4.760357","52.05641","52.28216"
"2555","2566","4.225491","4.252308","52.06100","52.08079"
"2546S","2566","4.252308","4.271055","52.05787","52.08079"
"2546A","2546T","4.275727","4.276004","52.05775","52.05926"
"2521","2595","4.318427","4.334532","52.06328","52.08087"
"2552","2595","4.247789","4.334532","52.05459","52.08087"
"2546E","2552","4.247789","4.271158","52.05459","52.05806"
"2546A","2555","4.225491","4.275727","52.05775","52.06100"
"2284","2546B","4.273997","4.313038","52.04115","52.05912"
"2546A","2596","4.275727","4.319509","52.05775","52.09274"
"2543V","2562","4.259972","4.281926","52.03965","52.07473"
"2543V","2546C","4.259972","4.273469","52.03965","52.05666"
"2562","2564","4.258003","4.281926","52.06811","52.07473"
"2514","2562","4.281926","4.308987","52.07473","52.08523"
"2533J","2546C","4.273469","4.293881","52.05090","52.05666"
"2245","2533J","4.293881","4.399369","52.05090","52.12127"
"2245","2514","4.308987","4.399369","52.08523","52.12127"
"2546T","2909","4.276004","4.545104","51.91413","52.05926"
"2545C","2717","4.265949","4.474270","52.05641","52.07464"
"2541R","2545E","4.265062","4.280996","52.04303","52.05389"
"2284","2546V","4.275566","4.313038","52.04115","52.05969"
"2284","2616","4.313038","4.378230","52.01987","52.04115"
"2562","2571","4.281926","4.286918","52.06937","52.07473"
"2533S","2546V","4.275566","4.286450","52.05539","52.05969"
"2492","2545A","4.263082","4.409169","52.05302","52.06619"
"2545A","2571","4.263082","4.286918","52.05302","52.06937"
"2545H","2546A","4.275727","4.282732","52.04369","52.05775"
"2533S","2546A","4.275727","4.286450","52.05539","52.05775"
