"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","travel_time","distance"
"2544E","2914",52.0464828004557,4.25028829153627,51.9767947275283,4.62177244927082,35.4833333333333,38.25016
"2544E","2516",52.0464828004557,4.25028829153627,52.067825882664,4.33840078455919,22.7833333333333,7.86901
"2544E","2517",52.0464828004557,4.25028829153627,52.0872564188756,4.2856091847331,21.6833333333333,6.80086
"2544E","2652",52.0464828004557,4.25028829153627,51.990957546483,4.46054246453324,33.1166666666667,22.66812
"2544E","2651",52.0464828004557,4.25028829153627,52.0023695961451,4.47092944934279,32.7166666666667,23.02681
"2544E","1012",52.0464828004557,4.25028829153627,52.3745419294806,4.89602329086313,72.4166666666667,74.74124
"2544E","2585",52.0464828004557,4.25028829153627,52.0948730770626,4.29696375867616,24.3666666666667,7.71672
"2546R","2525",52.0570615813484,4.26887575509814,52.0623766403396,4.3033052949289,10.9166666666667,2.96327
"2546X","3171",52.0607363175907,4.27761287481445,51.8549780764941,4.39920958999336,34.8666666666667,31.24313
"2624","2533H",51.9951639454664,4.35577193846277,52.0487012158308,4.29070086181086,22.4666666666667,8.69002
"2546B","3171",52.0591161365999,4.27399671521609,51.8549780764941,4.39920958999336,36.15,31.67044
"3072","2545J",51.902110213157,4.48910082781826,52.0501761443925,4.27390518499308,46.3,28.99801
"3072","2533S",51.902110213157,4.48910082781826,52.0553882189754,4.28645029912797,44.9,29.40544
"2546C","3171",52.0566592189878,4.27346932211107,51.8549780764941,4.39920958999336,36.3333333333333,31.61164
"2546T","2525",52.0592568478597,4.27600442135472,52.0623766403396,4.3033052949289,8.31666666666667,2.30066
"2533V","2624",52.0502735545728,4.28958147252202,51.9951639454664,4.35577193846277,21.5833333333333,12.90189
"2624","2544J",51.9951639454664,4.35577193846277,52.0450156297235,4.25830282422894,24.9833333333333,14.4867
"2546E","2525",52.0580559213753,4.27115759168931,52.0623766403396,4.3033052949289,11.2333333333333,3.08967
"2543A","2554",52.0434639733693,4.26411809103701,52.0649874429837,4.21969140039765,16.3166666666667,5.47847
"1435","2544J",52.2594488242524,4.70233605661364,52.0450156297235,4.25830282422894,43.3833333333333,47.50447
"2546C","2525",52.0566592189878,4.27346932211107,52.0623766403396,4.3033052949289,9.15,2.4743
"2546A","2522",52.0577480548941,4.27572687830032,52.0603806984478,4.32727437307002,12.1833333333333,3.99925
"2563","2533C",52.0726961183115,4.27055559115989,52.0487353984816,4.29328303683979,13.1,4.07385
"2546E","2522",52.0580559213753,4.27115759168931,52.0603806984478,4.32727437307002,15.2,4.79814
"2624","2543B",51.9951639454664,4.35577193846277,52.0408197781465,4.2614617830182,23.3166666666667,13.8986
"2522","2545H",52.0603806984478,4.32727437307002,52.0436878110164,4.28273156391466,12.6833333333333,3.94184
"3171","2533V",51.8549780764941,4.39920958999336,52.0502735545728,4.28958147252202,35.35,30.46935
"2546C","2548",52.0566592189878,4.27346932211107,52.0294425012506,4.29039874619047,11.7166666666667,4.15254
"1119","2533L",52.2821571917182,4.76035698526118,52.0524663644024,4.29612770686802,40.55,47.69007
"2718","2543A",52.0390097565011,4.49760847654277,52.0434639733693,4.26411809103701,27.15,24.93258
"2624","2533B",51.9951639454664,4.35577193846277,52.0486872890598,4.28410221908171,22.4166666666667,8.68384
"2546E","3171",52.0580559213753,4.27115759168931,51.8549780764941,4.39920958999336,38.4166666666667,32.22701
"2546A","2525",52.0577480548941,4.27572687830032,52.0623766403396,4.3033052949289,8.21666666666667,2.29077
"2275","2533S",52.0628271752404,4.35271576940429,52.0553882189754,4.28645029912797,18.4166666666667,6.06185
"2546S","3171",52.0578707378872,4.27105525072026,51.8549780764941,4.39920958999336,37.7833333333333,32.05721
"2546V","2548",52.0596909931168,4.27556636437299,52.0294425012506,4.29039874619047,14.8,4.92319
"2546V","2522",52.0596909931168,4.27556636437299,52.0603806984478,4.32727437307002,12.6166666666667,4.03934
"2546B","2525",52.0591161365999,4.27399671521609,52.0623766403396,4.3033052949289,8.96666666666667,2.53309
"2533L","2624",52.0524663644024,4.29612770686802,51.9951639454664,4.35577193846277,20.8833333333333,12.5565
"2624","2533J",51.9951639454664,4.35577193846277,52.0509015842924,4.29388139874333,21.35,8.32554
"2546R","2522",52.0570615813484,4.26887575509814,52.0603806984478,4.32727437307002,14.8833333333333,4.67175
"2722","2542K",52.0534861981297,4.5131635276735,52.0364390701642,4.26312437750577,24.2333333333333,24.18188
"2624","2542N",51.9951639454664,4.35577193846277,52.0331301458607,4.25975908904229,20.4833333333333,13.08791
"2624","2542E",51.9951639454664,4.35577193846277,52.0358716120214,4.26738012702625,21.2666666666667,13.28073
"2546B","2522",52.0591161365999,4.27399671521609,52.0603806984478,4.32727437307002,12.9333333333333,4.24157
"2542E","2563",52.0358716120214,4.26738012702625,52.0726961183115,4.27055559115989,20.05,6.18006
"2544E","2555",52.0464828004557,4.25028829153627,52.0609982076522,4.2254911744316,14.4666666666667,5.35055
"2546A","3171",52.0577480548941,4.27572687830032,51.8549780764941,4.39920958999336,35.4,31.42812
"2624","2545H",51.9951639454664,4.35577193846277,52.0436878110164,4.28273156391466,22.5,8.78782
"2624","2543A",51.9951639454664,4.35577193846277,52.0434639733693,4.26411809103701,24.7,14.32135
"3072","2533V",51.902110213157,4.48910082781826,52.0502735545728,4.28958147252202,44.6666666666667,29.2636
"2522","2542E",52.0603806984478,4.32727437307002,52.0358716120214,4.26738012702625,17.6666666666667,5.70145
"3072","2544G",51.902110213157,4.48910082781826,52.0425265562463,4.25954339365026,43.3333333333333,30.14206
"2245","2533C",52.1212697387586,4.39936927067405,52.0487353984816,4.29328303683979,33.4166666666667,19.48255
"2624","2542J",51.9951639454664,4.35577193846277,52.0385335010829,4.25810585554739,22.4,13.74786
"2546S","2522",52.0578707378872,4.27105525072026,52.0603806984478,4.32727437307002,14.5666666666667,4.62834
"2546R","2548",52.0570615813484,4.26887575509814,52.0294425012506,4.29039874619047,12.65,4.34411
"2513","2544H",52.078800201194,4.30238606088434,52.0457978448674,4.26058713725417,24.6833333333333,6.3046
"2245","2544E",52.1212697387586,4.39936927067405,52.0464828004557,4.25028829153627,34.5,24.33405
"2542T","2624",52.0387486365841,4.27284350201484,51.9951639454664,4.35577193846277,19.15,13.55904
"2546C","2522",52.0566592189878,4.27346932211107,52.0603806984478,4.32727437307002,13.1166666666667,4.18277
"2546T","2522",52.0592568478597,4.27600442135472,52.0603806984478,4.32727437307002,12.2833333333333,4.00913
"3072","2533H",51.902110213157,4.48910082781826,52.0487012158308,4.29070086181086,44.25,29.13861
"2554","2533G",52.0649874429837,4.21969140039765,52.0481019628413,4.28904693155921,22.35,8.40082
"2544C","2566",52.0467546104116,4.25338619540227,52.0807850576839,4.25230755076599,18.7333333333333,5.38841
"2593","2533L",52.085306948222,4.3427389060951,52.0524663644024,4.29612770686802,19.2833333333333,6.07571
"2546R","3171",52.0570615813484,4.26887575509814,51.8549780764941,4.39920958999336,38.5333333333333,30.83975
"3171","2533S",51.8549780764941,4.39920958999336,52.0553882189754,4.28645029912797,35.5833333333333,30.61119
"2533V","2275",52.0502735545728,4.28958147252202,52.0628271752404,4.35271576940429,19.0166666666667,5.30625
"2544G","1119",52.0425265562463,4.25954339365026,52.2821571917182,4.76035698526118,43.5166666666667,52.3043
