"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","travel_time","distance"
"2544E","2914",52.0464828004557,4.25028829153627,51.9767947275283,4.62177244927082,-1,-1
"2544E","2516",52.0464828004557,4.25028829153627,52.067825882664,4.33840078455919,99.15,7.56992
"2544E","2517",52.0464828004557,4.25028829153627,52.0872564188756,4.2856091847331,78.5333333333333,5.95
"2544E","2652",52.0464828004557,4.25028829153627,51.990957546483,4.46054246453324,-1,-1
"2544E","2651",52.0464828004557,4.25028829153627,52.0023695961451,4.47092944934279,-1,-1
"2544E","1012",52.0464828004557,4.25028829153627,52.3745419294806,4.89602329086313,-1,-1
"2544E","2585",52.0464828004557,4.25028829153627,52.0948730770626,4.29696375867616,95.75,7.2372
"2546R","2525",52.0570615813484,4.26887575509814,52.0623766403396,4.3033052949289,39.1,2.94616
"2546X","3171",52.0607363175907,4.27761287481445,51.8549780764941,4.39920958999336,-1,-1
"2624","2533H",51.9951639454664,4.35577193846277,52.0487012158308,4.29070086181086,106.583333333333,8.15292
"2546B","3171",52.0591161365999,4.27399671521609,51.8549780764941,4.39920958999336,-1,-1
"3072","2545J",51.902110213157,4.48910082781826,52.0501761443925,4.27390518499308,-1,-1
"3072","2533S",51.902110213157,4.48910082781826,52.0553882189754,4.28645029912797,-1,-1
"2546C","3171",52.0566592189878,4.27346932211107,51.8549780764941,4.39920958999336,-1,-1
"2546T","2525",52.0592568478597,4.27600442135472,52.0623766403396,4.3033052949289,30.1833333333333,2.2688
"2533V","2624",52.0502735545728,4.28958147252202,51.9951639454664,4.35577193846277,109.266666666667,8.3682
"2624","2544J",51.9951639454664,4.35577193846277,52.0450156297235,4.25830282422894,139.833333333333,10.63251
"2546E","2525",52.0580559213753,4.27115759168931,52.0623766403396,4.3033052949289,35.9833333333333,2.70605
"2543A","2554",52.0434639733693,4.26411809103701,52.0649874429837,4.21969140039765,64.6,4.83243
"1435","2544J",52.2594488242524,4.70233605661364,52.0450156297235,4.25830282422894,-1,-1
"2546C","2525",52.0566592189878,4.27346932211107,52.0623766403396,4.3033052949289,32.9,2.47973
"2546A","2522",52.0577480548941,4.27572687830032,52.0603806984478,4.32727437307002,51.9,3.98496
"2563","2533C",52.0726961183115,4.27055559115989,52.0487353984816,4.29328303683979,-1,-1
"2546E","2522",52.0580559213753,4.27115759168931,52.0603806984478,4.32727437307002,57.4833333333333,4.40059
"2624","2543B",51.9951639454664,4.35577193846277,52.0408197781465,4.2614617830182,135.016666666667,10.28664
"2522","2545H",52.0603806984478,4.32727437307002,52.0436878110164,4.28273156391466,50.7333333333333,3.86503
"3171","2533V",51.8549780764941,4.39920958999336,52.0502735545728,4.28958147252202,-1,-1
"2546C","2548",52.0566592189878,4.27346932211107,52.0294425012506,4.29039874619047,47.2833333333333,3.58442
"1119","2533L",52.2821571917182,4.76035698526118,52.0524663644024,4.29612770686802,-1,-1
"2718","2543A",52.0390097565011,4.49760847654277,52.0434639733693,4.26411809103701,-1,-1
"2624","2533B",51.9951639454664,4.35577193846277,52.0486872890598,4.28410221908171,110.15,8.46035
"2546E","3171",52.0580559213753,4.27115759168931,51.8549780764941,4.39920958999336,-1,-1
"2546A","2525",52.0577480548941,4.27572687830032,52.0623766403396,4.3033052949289,30.4,2.29042
"2275","2533S",52.0628271752404,4.35271576940429,52.0553882189754,4.28645029912797,70.3,5.33259
"2546S","3171",52.0578707378872,4.27105525072026,51.8549780764941,4.39920958999336,-1,-1
"2546V","2548",52.0596909931168,4.27556636437299,52.0294425012506,4.29039874619047,53.45,4.0244
"2546V","2522",52.0596909931168,4.27556636437299,52.0603806984478,4.32727437307002,52.2,3.99075
"2546B","2525",52.0591161365999,4.27399671521609,52.0623766403396,4.3033052949289,32.8,2.46665
"2533L","2624",52.0524663644024,4.29612770686802,51.9951639454664,4.35577193846277,105,8.05066
"2624","2533J",51.9951639454664,4.35577193846277,52.0509015842924,4.29388139874333,105.383333333333,8.0891
"2546R","2522",52.0570615813484,4.26887575509814,52.0603806984478,4.32727437307002,60.6,4.6407
"2722","2542K",52.0534861981297,4.5131635276735,52.0364390701642,4.26312437750577,-1,-1
"2624","2542N",51.9951639454664,4.35577193846277,52.0331301458607,4.25975908904229,133.766666666667,10.08966
"2624","2542E",51.9951639454664,4.35577193846277,52.0358716120214,4.26738012702625,126.516666666667,9.64706
"2546B","2522",52.0591161365999,4.27399671521609,52.0603806984478,4.32727437307002,54.4666666666667,4.1575
"2542E","2563",52.0358716120214,4.26738012702625,52.0726961183115,4.27055559115989,68.4166666666667,5.13519
"2544E","2555",52.0464828004557,4.25028829153627,52.0609982076522,4.2254911744316,45.7,3.3711
"2546A","3171",52.0577480548941,4.27572687830032,51.8549780764941,4.39920958999336,-1,-1
"2624","2545H",51.9951639454664,4.35577193846277,52.0436878110164,4.28273156391466,111.666666666667,8.55974
"2624","2543A",51.9951639454664,4.35577193846277,52.0434639733693,4.26411809103701,133.316666666667,10.16191
"3072","2533V",51.902110213157,4.48910082781826,52.0502735545728,4.28958147252202,-1,-1
"2522","2542E",52.0603806984478,4.32727437307002,52.0358716120214,4.26738012702625,68.0166666666667,5.20993
"3072","2544G",51.902110213157,4.48910082781826,52.0425265562463,4.25954339365026,-1,-1
"2245","2533C",52.1212697387586,4.39936927067405,52.0487353984816,4.29328303683979,-1,-1
"2624","2542J",51.9951639454664,4.35577193846277,52.0385335010829,4.25810585554739,137.083333333333,10.35822
"2546S","2522",52.0578707378872,4.27105525072026,52.0603806984478,4.32727437307002,57.9166666666667,4.43287
"2546R","2548",52.0570615813484,4.26887575509814,52.0294425012506,4.29039874619047,49.7333333333333,3.76921
"2513","2544H",52.078800201194,4.30238606088434,52.0457978448674,4.26058713725417,72.6166666666667,5.47393
"2245","2544E",52.1212697387586,4.39936927067405,52.0464828004557,4.25028829153627,187.033333333333,14.15367
"2542T","2624",52.0387486365841,4.27284350201484,51.9951639454664,4.35577193846277,122.133333333333,9.25527
"2546C","2522",52.0566592189878,4.27346932211107,52.0603806984478,4.32727437307002,54.4,4.17427
"2546T","2522",52.0592568478597,4.27600442135472,52.0603806984478,4.32727437307002,51.6833333333333,3.96334
"3072","2533H",51.902110213157,4.48910082781826,52.0487012158308,4.29070086181086,-1,-1
"2554","2533G",52.0649874429837,4.21969140039765,52.0481019628413,4.28904693155921,85.8,6.45043
"2544C","2566",52.0467546104116,4.25338619540227,52.0807850576839,4.25230755076599,63.1833333333333,4.77154
"2593","2533L",52.085306948222,4.3427389060951,52.0524663644024,4.29612770686802,72.2666666666667,5.3091
"2546R","3171",52.0570615813484,4.26887575509814,51.8549780764941,4.39920958999336,-1,-1
"3171","2533S",51.8549780764941,4.39920958999336,52.0553882189754,4.28645029912797,-1,-1
"2533V","2275",52.0502735545728,4.28958147252202,52.0628271752404,4.35271576940429,68.2,5.18548
"2544G","1119",52.0425265562463,4.25954339365026,52.2821571917182,4.76035698526118,-1,-1
"2722","2545N",52.0534861981297,4.5131635276735,52.0478918255789,4.27889515568648,236.933333333333,18.34878
"2541X","2283",52.0541032153245,4.27432718219758,52.0464276462276,4.32210601534733,58.4166666666667,4.38034
"2546X","2522",52.0607363175907,4.27761287481445,52.0603806984478,4.32727437307002,49.6666666666667,3.80643
"3072","2544H",51.902110213157,4.48910082781826,52.0457978448674,4.26058713725417,-1,-1
"2565","2544M",52.0754314285111,4.2585719682278,52.0396112782528,4.25129396965672,70.5666666666667,5.28356
"2542K","2584",52.0364390701642,4.26312437750577,52.1025819138378,4.2792955317052,117.25,8.90935
"2245","2542K",52.1212697387586,4.39936927067405,52.0364390701642,4.26312437750577,192.883333333333,14.64163
"2909","2533B",51.9141299066694,4.54510425380612,52.0486872890598,4.28410221908171,-1,-1
"2544N","2722",52.0342293799336,4.24498616242454,52.0534861981297,4.5131635276735,-1,-1
"2544J","2492",52.0450156297235,4.25830282422894,52.0661871645066,4.40916858931185,169.3,12.8836
"2546T","3171",52.0592568478597,4.27600442135472,51.8549780764941,4.39920958999336,-1,-1
"3072","2544E",51.902110213157,4.48910082781826,52.0464828004557,4.25028829153627,-1,-1
"2722","2542J",52.0534861981297,4.5131635276735,52.0385335010829,4.25810585554739,-1,-1
"2533J","2552",52.0509015842924,4.29388139874333,52.0545866758473,4.2477894574147,53.65,4.01969
"2546T","2548",52.0592568478597,4.27600442135472,52.0294425012506,4.29039874619047,52.7,3.96659
"2546V","3171",52.0596909931168,4.27556636437299,51.8549780764941,4.39920958999336,-1,-1
"2624","2542K",51.9951639454664,4.35577193846277,52.0364390701642,4.26312437750577,131.533333333333,9.93249
"2516","2543V",52.067825882664,4.33840078455919,52.039653035803,4.25997191228478,90.8833333333333,6.8976
"2518","2543S",52.0811391704393,4.29422163398023,52.0403612649755,4.26585945503325,78.6833333333333,5.99307
"2541X","2573",52.0541032153245,4.27432718219758,52.0653736707086,4.2841344796241,23.5333333333333,1.76416
"2544D","3072",52.0493517376306,4.25167124379522,51.902110213157,4.48910082781826,-1,-1
"2571","2544D",52.069368236282,4.28691784001684,52.0493517376306,4.25167124379522,46.5666666666667,3.53468
"3511","2533V",52.0883196690366,5.11598760040687,52.0502735545728,4.28958147252202,-1,-1
