"departure","arrival","distance_km"
"2573","2546R",1.4
"2545C","2517",3.7
"2546T","2514",3.7
"2545E","2566",3.1
"2545E","2288",5.5
"2546A","2512",2.6
"2546B","2565",2.1
"2546C","3171",24.1
"2546C","2518",3.1
"2511","2546C",3.9
"2546R","2521",3.5
"2546S","2245",11.3
"2546V","2554",3.9
"2545G","2681",6.5
"2681","2545E",6
"2546R","2511",4.1
"2546V","2512",2.5
"2546C","2516",4.6
"2516","2545G",4.8
"2546R","2514",4.2
"2546T","2525",1.9
"2546X","2516",4.2
"2546X","2555",3.6
"2546X","2512",2.3
"2546T","2573",0.9
"2546R","3012",21
"2546R","2624",9.1
"2546S","2563",1.7
"2546V","2624",9
"2546E","2516",4.7
"2547","2533J",2.2
"2547","2545G",1.4
"2546T","2624",9
"2545A","2492",10.1
"2545A","2572",2.4
"2545E","2492",10
"2546A","2554",3.9
"2546E","2548",3.4
"2546C","2512",2.8
"2546C","2514",4
"2546V","2275",5.3
"2624","2545G",8.2
"2546S","2518",3
"2518","2533L",3.2
"2546X","3072",22.8
"2545E","1118",44
"2545C","2585",4.8
"2593","2545C",6.2
"2518","2545G",3.8
"2545C","2742",24.6
"2546R","2518",3.2
"2545C","2571",2
"2546B","2555",3.3
"2546X","2245",10.7
"2546X","2566",2.8
"2546B","2333",18
"2542K","2573",3.5
"2546V","2245",10.9
"2533V","2624",7.6
"2546B","3012",20.9
"2545G","2548",2.4
"2546R","2616",8.6
"2546T","2564",1.6
"2546R","2722",16.7
"2546E","2565",2.1
"2521","2533C",2.4
"2616","2546E",8.5
"2545E","2627",10.6
"2547","2533A",1.1
"2555","2545G",3.7
"2516","2544N",7.4
"2546B","2548",3.5
"2546A","2333",18
"2546A","2595",4.8
"2546C","2595",5
"2546C","2616",8.3
"2546T","2596",4.8
"2545N","2593",6
"2545C","2515",4.2
"2545N","2548",2.2
"2555","2533V",4.5
"2546X","2722",16.1
"2545C","2253",15.7
"2546X","2275",5.1
"2545C","3511",58.3
"2545C","2514",4.4
"2541X","2641",11.8
"2546T","2552",2
"2541X","2562",2.4
"2541X","2291",3.9
"2545A","2571",2.4
"2546R","2512",3.1
"2544G","2584",6.8
"2546A","2596",4.9
"2624","2544J",8.7
"2541X","1034",58.9
"2541X","2681",6.6
"2546V","2518",2.7
"2546R","2571",1.8
"2546X","3012",20.9
"2542N","2571",4.4
"2571","2546X",1.2
"2546E","2525",2.3
"2543A","2554",3.9
"2545C","2681",6.2
"2545E","1435",37.6
"1435","2544J",38.6
"2546E","2722",16.6
"2546C","2525",2.1
"2571","2546C",1.7
"2555","2533B",4.2
"2722","2545H",15.8
"2546B","2584",4.9
"2541X","2514",4.2
"2546B","3072",22.9
"2546A","2522",3.5
"2533S","2584",5.3
"2546B","2518",2.8
"2545E","2596",5.7
"2541X","2565",2.6
"2546X","2564",1.6
"2546T","2516",4.4
"2545C","1435",37.4
"2546X","2554",4
"2545E","2585",5.1
"2545E","2678",8.8
"2545C","2563",1.8
"2563","2533C",3.1
"2546V","2333",17.9
"2546E","2584",5
"2546B","2563",1.5
"2546X","2563",1.4
"2546X","2573",0.7
"2546C","2596",5.1
"2596","2533J",5
"2542J","2547",2.6
"2542J","2245",13.4
"2546E","2522",3.8
"2546T","2245",10.9
"2546T","2584",4.8
"2545N","2571",2.5
"2546R","2596",5.3
"2545E","2521",3.8
"2533V","2595",4.6
"2545A","9711",202.6
"2554","2533A",4.2
"2514","2543B",5.9
"2546T","2593",5.4
"2624","2543B",8.2
"2545E","2571",2.3
"2546C","2722",16.4
"2546C","2584",5.1
"2546T","2909",24.5
"2522","2545H",3.6
"2546V","3072",22.8
"2546V","2596",4.8
"2546V","2525",1.9
"2546B","2275",5.4
"2514","2546X",3.5
"2546V","2595",4.7
"2545E","3015",21.1
"2545G","3015",20.2
"2548","2544N",3.2
"2245","2545G",11.7
"3171","2533V",23
"2546A","2516",4.4
"2546X","2525",1.8
"2546C","2548",3.2
"2546C","2573",1.2
"2545C","1119",42.1
"1119","2533L",40.7
"3511","2544J",58.9
"3511","2544N",59.9
"2546R","2595",5.2
"2546X","2565",2.1
"2565","2533B",3.5
"2544C","2555",2.5
"2512","2533S",2.4
"2545G","2511",4.4
"2546E","3012",20.9
"2546S","2275",5.6
"2511","2543A",5.3
"2546R","2275",5.8
"2546A","2565",2.3
"2546T","2565",2.2
"1118","2543A",44.8
"2514","2545H",5
"2516","2545P",4.5
"2545A","2512",3.6
"2544J","2552",1.3
"2545A","2517",4.1
"2541X","2582",4.4
"2541X","1951",52.3
"2541X","2548",3
"2514","2544M",6.4
"2541X","2671",8.1
"2541X","2551",2.6
"2545E","2718",16
"2718","2543A",16
"2718","2545G",15.3
"2595","2533L",4.1
"2624","2533B",7.7
"2546R","2565",2.2
"2547","2533L",2.2
"2546C","2565",2.3
"2545A","2513",3.9
"2544N","2566",5.2
"2544C","2512",4.6
"2533S","2511",3.3
"2546S","2593",5.8
"2543B","2516",6.1
"2546V","2516",4.4
"2564","2533J",3.1
"2555","2542E",4
"2554","2546C",3.8
"2512","2545P",3.2
"2545A","2521",4
"2546S","2333",18.2
"2546B","2595",4.8
"2514","2544G",5.8
"1435","2545N",37.3
"2555","2543A",3.3
"2514","2543A",5.6
"2546T","2563",1.5
"2546V","2565",2.1
"2541X","2547",0.9
"2541X","2511",4
"2546E","3171",24.3
"2288","2545G",4.6
"2546A","2525",2
"2547","2533S",1.5
"2545C","2596",5.5
"2596","2545G",5.7
"2545C","2718",16
"2533S","2521",2.4
"2566","2545N",4.1
"2546E","2518",3
"2511","2543B",5.7
"2546C","2593",5.7
"2545N","2515",4
"3012","2545H",19.2
"2275","2533S",4.6
"2545A","2597",7
"2545A","2593",6.5
"2566","2545G",3.8
"2547","2533B",1.8
"2546A","2548",3.3
"2512","2533B",3.1
"2533B","2571",2.3
"2546R","2909",24.7
"2546S","3171",24.2
"2546V","2548",3.5
"2546V","2522",3.5
"2546X","2333",17.7
"2518","2533V",3.5
"2595","2533S",4.3
"2545A","3171",23.9
"2545A","2742",24.8
"2546X","2593",5.2
"2546B","2525",2
"2565","2545G",3.1
"2562","2533B",2.9
"2533L","2624",7.6
"2545A","2625",8.6
"2625","2544H",8.1
"2546A","3012",20.7
"2545E","2711",15.6
"2546R","2333",18.4
"2546S","2596",5.1
"2546X","2596",4.6
"2546T","2595",4.7
"2545N","2511",4.3
"2533S","2573",1.1
"2518","2542E",5.4
"2545E","1012",55.9
"2566","2533V",4.2
"2546S","2722",16.6
"2545C","3521",57.8
"2546V","2722",16.3
"2624","2533J",7.5
"2546S","2595",5
"2533H","2722",15.2
"2542E","2573",3.5
"2545A","2516",5.4
"2288","2543A",5.1
"2533A","2288",4.6
"2514","2533J",4
"2573","2544J",2.9
"2545C","2717",14.4
"2546R","2522",4
"2554","2543B",3.9
"2722","2542K",17.2
"2624","2542N",7.8
"2546S","2525",2.3
"2624","2542E",7.6
"2542E","2566",5.1
"2546S","2565",2.1
"2681","2543A",5.5
"2546C","2333",18.2
"2333","2543A",19.7
"2541X","3511",57.7
"2548","2533H",2.1
"9711","2545N",202.1
"2545E","1119",42.3
"2616","2541X",8.1
"2546A","2722",16.3
"2546E","2333",18.2
"2545E","2717",14.5
"2573","2542J",3.5
"2514","2545J",4.6
"2275","2545H",5.2
"2518","2543B",5
"2593","2545G",6.1
"2546B","2522",3.6
"2522","2533J",2.5
"2548","2546S",3.4
"2546E","2275",5.6
"2542E","2563",4.1
"2546X","2909",24.5
"2544E","2555",2.3
"2333","2545G",18.7
"2546V","2909",24.6
"2541X","2572",1.7
"2552","2545H",2.7
"2511","2533A",3.8
"2533V","2547",2
"2545N","2492",9.1
"2564","2533H",3.1
"2545E","2291",3.9
"2566","2544G",4.3
"2545C","2597",6.6
"2544H","2511",5.3
"2544H","2547",1.7
"2544H","2566",3.9
"2565","2533S",2.9
"2511","2544G",5.6
"2545G","2742",24
"2545N","2547",1.7
"2545A","2285",3.2
"2547","2542N",3.1
"2546S","3012",20.9
"2546A","3171",24.1
"2624","2545H",7.4
"2624","2543A",8.3
"2545A","2678",8.7
"2545G","2678",8.4
"2545G","2515",4.1
"2545E","2513",3.8
"2546E","2593",5.8
"3072","2533V",21.4
"2533V","2552",2.9
"2616","2533V",7
"2533S","2566",3.7
"2518","2533C",3.6
"2545E","2625",8.6
"2546T","2275",5.3
"2564","2533L",3.1
"2545G","2571",2.4
"2545C","1816",71.3
"2554","2533H",5.2
"2546X","2548",3.6
"2514","2533H",4.3
"2514","2544H",5.5
"2511","2533B",4
"2541X","1118",43.5
"2616","2543B",8.3
"2542N","2566",5.3
"2555","2533G",4.6
"2909","2545G",23.8
"2545H","2547",2.2
"2522","2542E",4.9
"2546R","2593",6
"2546B","2593",5.5
"2545G","2595",5.4
"3072","2544G",22.2
"2545G","2517",4.3
"2545A","1816",71.7
"2245","2545H",11.8
"2544E","2571",3.6
"2544J","2521",4.6
"2545G","2562",2.9
"2245","2533C",10.9
"2548","2543A",2.4
"2541X","2284",3
"2545E","2563",2.1
"2555","2543V",3.3
"2595","2533H",4.7
"2545C","2711",15.5
"2546E","2909",24.7
"2547","2543B",2.3
"2333","2533J",17.7
"1012","2533S",54.7
"2545A","1118",44.2
"2542J","2552",1.9
"2512","2544G",4.6
"2624","2542J",8.3
"2544N","2547",3.3
"2552","2543A",1.7
"2547","2533C",2.3
"2573","2545G",1.9
"2546S","2522",3.9
"2546R","2548",3.4
"2513","2544H",4.7
"3521","2545A",58
"2564","2533A",2.1
"2546S","2288",5.3
"9711","2544G",203.5
"2541X","2512",3
"2573","2533V",1.7
"2533H","2596",5.3
"2245","2544E",13.2
"2544N","2616",9.3
"2545A","2585",5.2
"2593","2543B",7.4
"2543B","2512",4.7
"2542E","2552",2.5
"2597","2545N",7.1
"2566","2533H",4.4
"1816","2543B",73
"2542T","2624",7.5
"2546C","2522",3.7
"1951","2545J",52.7
"2546T","2522",3.5
"2545C","2625",8.8
"2545G","2512",3.4
"3072","2533H",21.2
"2554","2533G",5.1
"2545A","1435",37.8
"2514","2544N",7.2
"2544C","2566",3.8
"2544C","2573",3
"2521","2545J",3.4
"2525","2543A",3.4
"2544E","2554",2.9
"2516","2533S",3.8
"2566","2545J",3.7
"2909","2545H",23.1
"2544J","2555",2.9
"2545H","2627",8.9
"2545A","1012",56.1
"2593","2533L",4.9
"2555","2533S",4.2
"2546R","3171",24.2
"3171","2533S",23.6
"2545J","2681",6.4
"2545G","2627",9.7
"2533V","2275",4.5
"2546V","2593",5.4
"2542T","3072",21.2
"2333","2533S",17.7
"3521","2544E",58.9
"2545H","2564",3.2
"3072","2533J",21.3
"2545G","2717",13.9
"2541X","2583",4.4
"2545G","1435",37.4
"2533S","2571",1.6
"3072","2543B",22
"2545N","2552",2.3
"2711","2545G",14.9
"2518","2544N",6.2
"3521","2544J",58.4
"2544G","1119",43.4
"1119","2545A",42.5
"3511","2545A",58.5
"2542E","2547",2.8
"2552","2544G",1.6
"2544G","2555",3.1
"2533S","2518",2.9
"2545A","2718",16.1
"2511","2533C",3.7
"2593","2533H",5.4
"2547","2544M",2.6
"2511","2544M",6.3
"2571","2533V",2.1
"2546S","2572",1.7
"2545E","1816",71.6
"2573","2533B",1.9
"2288","2545N",4.3
"2546C","2275",5.5
"2545V","2566",3.6
"2722","2545N",16
"2545E","2628",9.5
"2521","2545G",3.3
"2593","2545H",6.2
"2563","2544G",3.4
"2533C","2593",5.3
"2541X","2283",3.4
"2283","2533A",3.1
"2554","2533J",5.3
"2555","2543B",3.3
"2544J","2512",4.5
"2533A","2518",3.2
"2545V","2554",3.7
"2525","2533H",1.7
"2546X","2522",3.4
"3072","2544H",22.4
"2511","2545J",4.3
"2545C","3015",21.2
"2542K","2521",4.8
"2544J","2548",2.8
"2544E","2562",3.8
"2545H","2555",4.4
"2555","2533L",4.9
"2565","2544M",4
"2545A","2711",15.7
"2545P","2253",15.4
"2545A","2253",16
"2253","2545H",15.7
"2544N","2521",6
"2543A","2565",3.6
"2543A","2571",3.3
"2542K","2584",7.4
"2545E","2285",3.1
"2245","2542K",13.3
"3511","2545G",57.7
"2545H","2571",2.9
"2585","2545G",5.3
"2547","2545J",1.3
"2541X","2594",6.4
"2597","2545G",7
"2566","2544J",4
"2583","2533A",4.6
"2596","2544J",6.8
"2542E","2245",13.1
"2565","2544J",3.4
"3012","2533S",20
"2909","2533B",23.3
"2565","2544N",4.7
"2544N","2722",18.5
"2545H","2521",3.3
"2681","2545H",6.8
"2544J","2492",10.6
"2525","2533J",1.4
"2512","2543A",4.3
"2544N","2562",5.2
"2546E","2596",5.1
"2546T","3171",24.3
"2573","2543A",2.8
"2545A","2514",4.8
"2541X","3066",23.1
"2563","2543B",3.6
"3072","2544E",22.9
"2544N","2511",7
"2722","2542J",17.5
"2545H","3072",21.2
"2564","2542N",3.9
"2542E","2571",4
"2563","2533S",2.2
"2533J","2552",3.2
"2564","2542K",3.5
"2544J","2547",1.9
"2722","2544G",17.4
"2722","2533V",15.3
"2518","2545J",3.7
"2333","2533B",18.3
"3171","2545G",23.2
"2582","2541R",5.6
"2546T","2548",3.5
"2533H","3012",19.3
"2511","2544J",5.5
"2511","2533V",3.7
"2533V","2584",5.9
"2546V","3171",24.3
"2544L","2564",3.7
"2545C","2678",9.1
"2542T","2511",5.4
"2522","2545G",3.8
"2516","2544H",5.9
"2624","2542K",7.8
"2546S","2515",3.8
"2541X","2517",3.8
"3171","2545H",22.5
"2555","2544N",3.3
"2555","2533H",4.7
"2542J","2593",7.8
"2717","2545N",13.7
"2573","2533A",1.4
"2533S","2548",2.9
"2514","2542E",6.2
"2571","2543B",3.6
"3072","2544J",22.4
"2555","2533J",4.8
"2542E","2564",3.6
"2333","2542J",20.4
"2333","2545H",18.8
"2595","2542N",7.4
"2516","2543A",5.8
"2516","2543V",6.2
"2518","2543S",4.9
"2547","2542K",2.7
"2542N","2555",3.9
"2541X","2573",1.4
"2722","2533J",15
"2545G","2572",2.1
"2542N","3072",21.5
"2285","2533V",1.6
"2533B","2616",7.2
"2511","2545H",4.6
"2544D","3072",23.1
"2571","2544D",3.3
"2545G","9711",202.2
"2518","2542N",5.8
"3511","2533V",56.7
"2565","2533H",3.7
"2511","2533H",3.8
"2573","2533C",2
"2573","2545C",1.6
"2573","2533J",1.7
"2678","2533A",8.9
"1118","2543B",45.1
"2522","2542N",5.5
"2717","2543B",15
"2616","2544M",9
"2544M","2521",5.3
"2541X","2491",7.7
"2491","2533J",6.5
"2512","2542E",4.9
"3012","2533L",19.3
"2544J","2562",3.7
"2533A","2514",4.1
"2584","2533B",6
"2521","2544H",4.4
"2542N","2562",4.9
"2533B","2564",2.8
"2542J","2627",9.8
"2512","2533V",2.8
"2566","2544M",4.6
"1118","2544N",46.5
"2545V","2552",1.5
"2544G","2616",8.5
"2555","2533E",4.7
"2518","2544G",4.9
"2547","2544C",1.8
"2624","2544C",9.1
"2288","2544J",5.6
"2521","2545N",3.2
"2291","2533S",4
"2544N","2627",10.3
"2543S","2572",3.3
"1118","2545G",43.8
"2291","2545G",3.3
"2722","2545G",16.3
"2544J","2571",3.3
"2245","2543B",13
"2492","2545G",9.4
"2544G","2547",2.1
"2909","2543B",24
"2593","2544N",8.8
"1034","2533L",58
"3072","2542E",21.3
"2517","2545N",4.4
"3072","2533L",21.3
"2516","2542E",6
"2513","2545G",3.8
"2333","2533H",18
"2514","2533S",3.7
"2511","2542J",6
"2542J","2555",3.4
"2533A","2555",3.7
"2545G","2584",5.9
"2545G","2616",7.8
"2545A","2717",14.7
"2585","2533H",5.2
"2624","2544M",8.7
"2544M","2584",7.3
"2544L","2552",2.2
"2595","2533B",5
"2541X","2909",24.2
"2544G","2562",3.9
"3012","2544G",20.3
"2546S","2742",24.3
"3511","2545H",57.2
"2565","2545H",3.9
"3012","2543B",20
"2552","2533S",2.6
"2552","2533A",2.1
"2533A","2517",3.8
"2596","2543B",7
"2544M","2596",7.5
"2516","2545N",4.6
"2572","2545H",2.4
"2593","2545P",5.9
"3521","2533S",56.4
"2547","2543A",2
"2333","2542N",20.7
"2543B","2564",3
"2245","2533H",11
"2545E","2564",1.7
"2518","2533B",3.7
"2565","2542E",4.4
"2548","2544G",2.6
"2514","2542J",6.3
"2717","2543A",14.8
"2533V","2627",9.2
"2718","2545H",14.7
"2542J","2562",4.3
"2514","2533V",4.1
"2595","2533C",4.6
"2616","2541G",7.9
"2533E","2547",2
"2275","2542J",7
"2291","2543B",2.6
"2533S","2616",7.4
"2518","2545H",4.2
"3171","2544J",23.3
"2245","2533A",11.2
"2555","2545N",3.9
"2542N","2554",4.5
"3072","2543A",22
"2516","2533H",3.9
"2597","2544J",7.9
"2585","2544J",6.1
"3072","2542J",21.9
"2722","2533L",14.9
"2513","2545H",4.1
"2566","2545H",4.6
"2533V","2564",2.9
"2517","2542T",5.5
"2544N","2552",2.3
"2533A","3072",22.2
"2545N","2253",15.5
"2544N","2333",21.3
"2596","2544N",8.3
"2909","2544N",24.5
"2573","2545J",1.8
"2544M","2516",6.7
"2544H","2562",3.5
"2563","2544N",4.6
"2571","2533A",1.8
"2722","2545A",17.1
"2533V","2516",3.9
"3521","2545G",57.2
"2544E","2564",2.5
"2275","2543B",6.7
"2515","2544G",5.4
"2595","2542E",6.8
"2544N","2573",4.4
"2542E","2616",7.8
"2711","2544G",16.1
"2533S","2627",9.7
"2291","2543A",2.8
"2545A","2564",1.7
"2525","2545G",2.4
"2516","2533J",3.6
"2275","2543A",6.4
"2624","2533A",8.4
"2545C","3012",21
"2525","2545A",2.9
"2533B","2521",2.9
"1119","2533A",41.6
"2563","2544L",4.4
"2593","2542K",7.7
"2596","2545J",5.7
"2542T","2552",2.5
"2566","2533A",3.5
"2562","2533V",2.8
"1816","2545G",71.7
"2546X","2492",9
"2275","2542E",6.6
"2518","2533H",3.6
"2275","2533A",5.2
"2548","2543B",2.4
"2555","2544H",2.9
"1119","2544H",43.1
"2546S","9711",201.8
"2544J","2516",6
"2545N","2573",2
"2518","2543A",4.7
"2512","2545N",3.4
"2542E","2562",4.4
"2545J","2492",9.4
"2245","2533L",10.4
"1435","2543A",38.4
"2554","2533E",5.2
"2533H","2275",4.5
"2545C","2245",11.6
"2543A","2245",12.7
"2546B","2515",3.6
"2544G","2573",3
"2511","2544L",6.6
"2742","2543B",24.9
"2514","2533L",3.8
"2742","2543A",24.7
"2742","2544L",25.6
"2597","2545H",7.4
"2545G","2625",7.8
"3171","2545N",23
"2573","2545A",2
"2717","2533V",12.9
"2565","2533J",3.6
"2545A","2628",9.6
"2515","2533V",3.3
"3171","2543A",22.9
"2909","2533G",23
"2562","2544M",4.4
"2533L","2573",1.7
"2595","2544N",8
"2543V","3521",58.3
"2533V","2492",8.4
"2572","2533C",1.7
"2565","2533A",2.8
"2624","2545N",7.9
"2542T","2584",7.1
"2555","2533C",4.8
"2572","2533H",1.8
"2288","2544G",5.4
"2542J","2512",5
"2518","2533J",3.4
"2275","2545C",6
"3171","2543B",22.7
"2544M","2681",4.6
"2544G","2564",2.9
"2543A","3015",20.3
"2624","2545B",7.7
"2544H","2554",3.5
"2544D","2552",0.6
"2564","2545N",2.7
"2511","2542N",6.4
"2518","2545A",3.8
"2516","2542J",6.4
"2545V","2245",12
"2543B","3521",58.2
"2516","2533B",4.3
"2566","2543A",4.2
"2545V","2521",3.7
"2533C","2552",3.2
"3012","2533V",19.5
"2245","2542N",13.7
"2512","2544H",4.3
"2624","2545J",8.3
"2573","2543B",3.1
"2548","2542J",2.4
"2545G","2628",8.7
"2285","2545G",2.2
"2563","2545H",3.3
"2533L","2521",1.9
"2547","2542T",2.5
"3012","2542N",19.6
"2565","2545P",3.3
"2544J","2564",2.6
"2288","2545H",3.9
"2565","2533V",3.5
"2596","2533A",5.2
"2573","2544M",3.6
"2544J","2584",6.6
"3015","2544J",20.7
"2533V","2521",2.4
"2566","2533C",4.5
"2554","2542J",3.9
"3171","2544G",23
"2516","2542N",6.6
"2533L","2563",2.9
"2275","2544G",6.8
"2909","2542J",24.1
"2624","2544G",8.4
"2544G","2571",3.5
"1118","2544G",45.1
"3171","2542E",22.1
"2548","2533J",2.4
"1119","2545G",42.1
"2718","2543B",16.2
"2253","2545G",15.6
"2545J","2722",16.4
"2511","2533J",3.5
"2516","2533A",4.4
"2544G","2291",2.8
"2566","2533B",4.2
"1012","2545G",55.7
"1435","2545H",37.4
"2909","2543A",24.1
"2564","2533S",2.4
"2545H","2573",2.4
"2544N","2571",4.9
"3511","2543B",58.7
"3521","2545N",57
"2542J","2616",8.5
"2518","2542J",5.3
"2909","2533A",24
"2722","2543A",17.1
"2543V","2564",3.2
"2542N","2512",5.4
"2566","2533J",4.4
"2545H","1118",43.8
"2597","2543B",8.2
"2711","2545H",14.5
"2511","2533L",3.2
"2544L","2573",4
"3072","2545A",22.9
"2544J","9711",203.4
"2512","2533J",2.6
"2596","2545H",6
"2572","2543A",3.1
"2518","2543V",5.2
"3511","2533S",56.9
"2593","2542E",7.5
"2491","2545H",7.5
"2291","2544C",3.4
"2533B","2596",5.5
"2542C","3072",21.3
"2541X","2525",2.2
"2595","2545J",5.4
"2544J","2245",12.9
"2542C","2517",5.6
"2572","2543B",3.4
"2678","2544J",7.8
"3521","2543A",58
"2512","2533A",2.8
"2285","2533S",2.2
"2533H","2552",3
"3072","2533G",21.3
"2585","2533S",4.5
"2595","2533J",4.3
"2565","2542J",4.1
