"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6","stop_PC5","feasible"
"2624","2544J",51.9951639454664,4.35577193846277,52.0450156297235,4.25830282422894,0,1,55.5,16.9,35.4,3.1,1,14.9,1.3,13.6,"2541XV","2541X",1
"2546E","2525",52.0580559213753,4.27115759168931,52.0623766403396,4.3033052949289,1,0,25.9,18.8,7,0,0,3.4,1.4,2,"2533AD","2533A",1
"2525","2546E",52.0623766403396,4.3033052949289,52.0580559213753,4.27115759168931,0,1,24.4,18.1,6.3,0,0,3.5,1.3,2.2,"2533AD","2533A",1
"2543A","2554",52.0434639733693,4.26411809103701,52.0649874429837,4.21969140039765,1,0,32.1,6.3,21.5,4.3,1,7.6,0.5,7.1,"2543AA","2543A",1
"1435","2544J",52.2594488242524,4.70233605661364,52.0450156297235,4.25830282422894,0,1,166.8,46.8,102.1,17.9,3,59.9,3.4,56.5,"2543BG","2543B",1
"2546C","2525",52.0566592189878,4.27346932211107,52.0623766403396,4.3033052949289,1,0,21.9,14.9,7,0,0,3.1,1.1,2,"2533AD","2533A",1
"2525","2546C",52.0623766403396,4.3033052949289,52.0566592189878,4.27346932211107,0,1,20.8,14.5,6.3,0,0,3.2,1.1,2.1,"2533AD","2533A",1
"2546A","2522",52.0577480548941,4.27572687830032,52.0603806984478,4.32727437307002,1,0,28.5,9.9,14.9,3.7,1,5,0.7,4.3,"2533SW","2533S",1
"2522","2546A",52.0603806984478,4.32727437307002,52.0577480548941,4.27572687830032,0,1,24.2,7.6,13.2,3.4,1,4.6,0.5,4.1,"2532CP","2532C",1
"2563","2533C",52.0726961183115,4.27055559115989,52.0487353984816,4.29328303683979,0,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2546E","2522",52.0580559213753,4.27115759168931,52.0603806984478,4.32727437307002,1,0,34.6,13.2,18.9,2.5,1,6.6,0.9,5.7,"2533AD","2533A",1
"2522","2546E",52.0603806984478,4.32727437307002,52.0580559213753,4.27115759168931,0,1,29.3,10.6,15.3,3.4,1,5.5,0.7,4.8,"2532CP","2532C",1
"2533V","2595",52.0502735545728,4.28958147252202,52.0808715256637,4.33453210497774,1,0,34.6,13.6,15.4,5.7,2,6.8,1,5.8,"2533SR","2533S",1
"2624","2543B",51.9951639454664,4.35577193846277,52.0408197781465,4.2614617830182,0,1,55,16.4,35.4,3.1,1,14.9,1.2,13.7,"2541XV","2541X",1
"2522","2545H",52.0603806984478,4.32727437307002,52.0436878110164,4.28273156391466,0,1,19.7,7.3,12.4,0,0,4.8,0.5,4.3,"2545NW","2545N",1
"2546V","2525",52.0596909931168,4.27556636437299,52.0623766403396,4.3033052949289,1,0,21.5,15.8,5.6,0,0,2.7,1.2,1.5,"2533SW","2533S",1
"3171","2533V",51.8549780764941,4.39920958999336,52.0502735545728,4.28958147252202,0,1,108,19,72.6,16.4,3,47.2,1,46.2,"2533SR","2533S",1
"2546X","2525",52.0607363175907,4.27761287481445,52.0623766403396,4.3033052949289,1,0,19.8,14.2,5.6,0,0,2.5,1,1.5,"2533SW","2533S",1
"2546C","2548",52.0566592189878,4.27346932211107,52.0294425012506,4.29039874619047,1,0,22.4,12.2,10.2,0,0,4,0.9,3.1,"2541AE","2541A",1
"2548","2546C",52.0294425012506,4.29039874619047,52.0566592189878,4.27346932211107,0,1,23.7,12.1,11.6,0,0,4,0.9,3.1,"2541XV","2541X",1
"1119","2533L",52.2821571917182,4.76035698526118,52.0524663644024,4.29612770686802,0,1,150.2,27,102.4,20.9,4,57.6,1.9,55.7,"2531AV","2531A",1
