"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6","stop_PC5","feasible"
"2545A","2512",52.0530226817073,4.26308177456596,52.07346,4.304762,1,0,22.4,10.2,12.2,0,0,4.6,0.7,3.9,"2545CZ","2545C",1
"2533J","2565",52.0509015842924,4.29388139874333,52.07543,4.258572,1,0,41.1,12.2,22.9,6.1,1,8.3,0.9,7.4,"2533SR","2533S",1
"3012","2533H",51.91861,4.476193,52.0487012158308,4.29070086181086,0,1,82,26.9,51.9,3.3,1,33.1,1.6,31.5,"2533SR","2533S",1
"2516","2545H",52.06783,4.338401,52.0436878110164,4.28273156391466,0,1,33.7,12.1,19.4,2.2,1,7.5,0.9,6.6,"2531SK","2531S",1
"2545H","2516",52.0436878110164,4.28273156391466,52.06783,4.338401,1,0,33.4,12.2,16.4,4.8,1,6.8,0.9,5.9,"2545NW","2545N",1
"2573","2533V",52.06537,4.284134,52.0502735545728,4.28958147252202,0,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2512","2545A",52.07346,4.304762,52.0530226817073,4.26308177456596,0,1,21.3,9.9,11.4,0,0,4.6,0.7,3.9,"2545CG","2545C",1
"2512","2533V",52.07346,4.304762,52.0502735545728,4.28958147252202,0,1,31.5,22.6,8.9,0,0,4.2,1.7,2.5,"2546AD","2546A",1
"2909","2533L",51.91413,4.545104,52.0524663644024,4.29612770686802,0,1,99.1,24.8,62.9,11.4,4,37.5,1.1,36.4,"2531BJ","2531B",1
"2533L","2909",52.0524663644024,4.29612770686802,51.91413,4.545104,1,0,109.2,30.8,64.6,13.8,3,39.3,1.5,37.8,"2533SR","2533S",1
"2596","2545H",52.09274,4.319509,52.0436878110164,4.28273156391466,0,1,39.3,15.7,23.6,0,0,9,1.1,7.9,"2545NW","2545N",1
"2546R","2596",52.05706,4.268876,52.09274,4.319509,1,0,41.4,11.8,26.9,2.6,1,8.1,0.8,7.3,"2545CZ","2545C",1
"2596","2546R",52.09274,4.319509,52.05706,4.268876,0,1,47.6,27.8,19.9,0,0,8.5,2.1,6.4,"2545CG","2545C",1
"2546T","2565",52.05926,4.276004,52.07543,4.258572,1,0,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2565","2546T",52.07543,4.258572,52.05926,4.276004,0,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2545A","1119",52.0530226817073,4.26308177456596,52.28216,4.760357,1,0,150.3,19,115.1,16.3,4,64.1,1.3,62.8,"2545CZ","2545C",1
"1119","2545A",52.28216,4.760357,52.0530226817073,4.26308177456596,0,1,143.5,24,103.7,15.9,4,59.2,1.7,57.5,"2545CG","2545C",1
"2545A","2711",52.0530226817073,4.26308177456596,52.06161,4.492151,1,0,48.6,10.9,37.7,0,0,19.9,0.8,19.1,"2545CZ","2545C",1
"2711","2545A",52.06161,4.492151,52.0530226817073,4.26308177456596,0,1,47.2,9.8,37.4,0,0,19.8,0.7,19.1,"2545CG","2545C",1
"2546T","2563",52.05926,4.276004,52.0727,4.270556,1,0,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2563","2546T",52.0727,4.270556,52.05926,4.276004,0,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2512","2544G",52.07346,4.304762,52.0425265562463,4.25954339365026,0,1,19.7,3.3,16.4,0,0,5.4,0.2,5.2,"2543BG","2543B",1
"2545G","2563",52.0492425239982,4.27529335026369,52.0727,4.270556,1,0,23.6,7.6,16,0,0,5.9,0.6,5.3,"2545JT","2545J",1
"2566","2542E",52.08079,4.252308,52.0358716120214,4.26738012702625,0,1,54.3,17.4,30.6,6.2,1,11.5,1.3,10.2,"2543TC","2543T",1
"2545N","2515",52.0478918255789,4.27889515568648,52.0727,4.321192,1,0,20.4,8.4,12,0,0,5.1,0.6,4.5,"2545NW","2545N",1
"2541X","2594",52.0541032153245,4.27432718219758,52.09343,4.341788,1,0,43.2,16.5,23.9,2.9,1,8.1,1.2,6.9,"2541XV","2541X",1
"2541X","2548",52.0541032153245,4.27432718219758,52.02944,4.290399,1,0,18.5,8.3,10.2,0,0,3.7,0.6,3.1,"2541AE","2541A",1
"2548","2541X",52.02944,4.290399,52.0541032153245,4.27432718219758,0,1,19.2,7.6,11.6,0,0,3.6,0.6,3,"2541XV","2541X",1
"2546X","2595",52.06074,4.277613,52.08087,4.334532,1,0,29.1,10.9,18.2,0,0,6.4,0.8,5.6,"-1","-1",1
"2595","2546X",52.08087,4.334532,52.06074,4.277613,0,1,25.7,6.1,16.4,3.2,1,5.4,0.4,5,"2546AD","2546A",1
"2545A","2291",52.0530226817073,4.26308177456596,52.01948,4.277017,1,0,42,27,15,0,0,6.6,2,4.6,"2545CZ","2545C",1
"2291","2545A",52.01948,4.277017,52.05302,4.263082,0,1,42.5,25.4,17.1,0,0,6.5,1.9,4.6,"2545CG","2545C",1
"2555","2533H",52.061,4.225491,52.0487012158308,4.29070086181086,0,1,36.4,12.9,19.9,3.6,1,7.3,1,6.3,"2545CG","2545C",1
"2547","2533A",52.06093,4.266762,52.0536330532777,4.27865212084885,0,1,17.6,9.8,7.8,0,0,2.6,0.7,1.9,"-1","-1",1
"2541X","2525",52.0541032153245,4.27432718219758,52.06238,4.303305,1,0,20.5,12.4,8.1,0,0,3.3,0.9,2.4,"2541XV","2541X",1
"2525","2541X",52.06238,4.303305,52.0541032153245,4.27432718219758,0,1,19.2,12.1,7.1,0,0,3.3,0.9,2.4,"2541AE","2541A",1
"2541X","2641",52.0541032153245,4.27432718219758,52.01597,4.434602,1,0,61.6,18.2,36.7,6.7,2,18.4,1,17.4,"2541XV","2541X",1
"2641","2541X",52.01597,4.434602,52.0541032153245,4.27432718219758,0,1,61.7,16.7,34.3,10.7,2,18.2,0.9,17.3,"2541AE","2541A",1
"2291","2545C",52.01948,4.277017,52.0564072356305,4.26594900581208,0,1,37.6,20.5,17.1,0,0,6.1,1.6,4.5,"2545CG","2545C",1
"2546S","2593",52.05787,4.271055,52.08531,4.342739,1,0,32.5,8.8,23.8,0,0,7.8,0.6,7.2,"2545CZ","2545C",1
"2593","2546S",52.08531,4.342739,52.05787,4.271055,0,1,33,10.3,22.7,0,0,7.9,0.7,7.2,"2545CG","2545C",1
"2552","2544H",52.05459,4.247789,52.0457978448674,4.26058713725417,0,1,20.5,9.9,10.6,0,0,4.3,0.7,3.6,"2544GA","2544G",1
"2542N","2511",52.0331301458607,4.25975908904229,52.07851,4.317539,1,0,36.4,16.6,19.8,0,0,8.5,1.2,7.3,"2543SW","2543S",1
"2544J","2566",52.0450156297235,4.25830282422894,52.08079,4.252308,1,0,49.4,20.4,20.9,8.1,2,8.2,1.5,6.7,"2545JT","2545J",1
"2564","2543B",52.06811,4.258003,52.0408197781465,4.2614617830182,0,1,21.2,4.3,16.8,0,0,6.3,0.3,6,"2543SK","2543S",1
"2514","2533S",52.08523,4.308987,52.0553882189754,4.28645029912797,0,1,34.2,14.6,19.7,0,0,7.4,1.1,6.3,"2533SR","2533S",1
"2565","2545G",52.07543,4.258572,52.04924,4.275293,0,1,29.2,15.2,14,0,0,6,1.2,4.8,"2545JT","2545J",1
"2545G","2565",52.04924,4.275293,52.07543,4.258572,1,0,29.5,14.9,14.6,0,0,6,1.1,4.9,"2545JT","2545J",1
"2546T","3012",52.05926,4.276004,51.91861,4.476193,1,0,76.7,16.5,53.5,6.7,2,31.3,0.9,30.4,"2533SW","2533S",1
"3012","2546T",51.91861,4.476193,52.05926,4.276004,0,1,75.1,15.7,51.4,8,2,31,0.9,30.1,"2546AD","2546A",1
"2253","2545G",52.13857,4.451775,52.0492425239982,4.27529335026369,0,1,73.9,20.1,46.1,7.6,2,19.8,1.5,18.3,"2545JT","2545J",1
"2565","2533A",52.07543,4.258572,52.0536330532777,4.27865212084885,0,1,35.4,21.4,14,0,0,6.5,1.6,4.9,"2545JT","2545J",1
"2545C","2285",52.05641,4.265949,52.03807,4.302551,1,0,19.8,8.1,11.8,0,0,4.3,0.6,3.7,"2545CG","2545C",1
"2285","2545C",52.03807,4.302551,52.05641,4.265949,0,1,18.7,6.5,12.2,0,0,4.2,0.5,3.7,"2545CG","2545C",1
"1119","2545E",52.28216,4.760357,52.0538899879879,4.26506166395777,0,1,141.4,21.8,103.7,15.9,4,59,1.5,57.5,"2545CG","2545C",1
"2545G","2291",52.0492425239982,4.27529335026369,52.01948,4.277017,1,0,32.5,22.7,9.8,0,0,5.9,1.7,4.2,"2545NW","2545N",1
"2546V","2722",52.05969,4.275566,52.05349,4.513164,1,0,58.4,20.6,37.8,0,0,20.7,1.4,19.3,"-1","-1",1
"2722","2546V",52.05349,4.513164,52.05969,4.275566,0,1,58.7,22.1,36.6,0,0,20.8,1.5,19.3,"-1","-1",1
"2514","2533J",52.08523,4.308987,52.0509015842924,4.29388139874333,0,1,30.5,10.8,19.7,0,0,7.1,0.8,6.3,"2533SR","2533S",1
"2596","2533C",52.09274,4.319509,52.0487353984816,4.29328303683979,0,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2545C","2625",52.0564072356305,4.26594900581208,51.99161,4.339376,1,0,40.4,6.4,31,3,1,13.1,0.5,12.6,"2545CZ","2545C",1
"2625","2545C",51.99161,4.339376,52.0564072356305,4.26594900581208,0,1,50.8,19.8,31,0,0,13.1,1.4,11.7,"2545CG","2545C",1
"2533H","2555",52.0487012158308,4.29070086181086,52.061,4.225491,1,0,37.4,12.3,18.3,6.8,1,7.4,0.9,6.5,"2545CG","2545C",1
"2544G","2722",52.0425265562463,4.25954339365026,52.05349,4.513164,1,0,66,16.9,45.2,3.8,1,22.5,1.2,21.3,"2543BG","2543B",1
"2516","2543B",52.06783,4.338401,52.0408197781465,4.2614617830182,0,1,39.5,7.7,27.8,4,1,9.8,0.6,9.2,"2546AD","2546A",1
"2573","2543A",52.06537,4.284134,52.0434639733693,4.26411809103701,0,1,18.5,10.6,8,0,0,3.6,0.8,2.8,"2544GA","2544G",1
"2543A","2573",52.0434639733693,4.26411809103701,52.06537,4.284134,1,0,18.5,10.2,8.2,0,0,3.6,0.8,2.8,"2543AA","2543A",1
"2573","2533L",52.06537,4.284134,52.0524663644024,4.29612770686802,0,1,20.6,18,2.5,0,0,2.1,1.4,0.7,"2531AA","2531A",1
"2547","2545V",52.06093,4.266762,52.0500362790353,4.26839997997919,0,1,16.8,12.3,4.5,0,0,1.8,0.9,0.9,"-1","-1",1
"2547","2545H",52.06093,4.266762,52.0436878110164,4.28273156391466,0,1,16.9,9.2,7.7,0,0,3.1,0.7,2.4,"-1","-1",1
"2545A","2513",52.0530226817073,4.26308177456596,52.0788,4.302386,1,0,29.9,17.6,12.2,0,0,5.2,1.3,3.9,"2545CZ","2545C",1
"2513","2545A",52.0788,4.302386,52.0530226817073,4.26308177456596,0,1,30.8,16.7,14.1,0,0,5.8,1.2,4.6,"2545CG","2545C",1
"2511","2543B",52.07851,4.317539,52.0408197781465,4.2614617830182,0,1,31.9,14.4,17.5,0,0,6.7,1.1,5.6,"2543BG","2543B",1
"2543B","2552",52.0408197781465,4.2614617830182,52.05459,4.247789,1,0,20.9,8.3,12.6,0,0,4.8,0.6,4.2,"2543AV","2543A",1
"2545A","2585",52.0530226817073,4.26308177456596,52.09487,4.296964,1,0,45.9,17.5,23.9,4.4,2,8.2,1.3,6.9,"2545CZ","2545C",1
"2585","2545A",52.09487,4.296964,52.05302,4.263082,0,1,45.8,24.8,21,0,0,8.9,1.9,7,"-1","-1",1
"2585","2544N",52.09487,4.296964,52.0342293799336,4.24498616242454,0,1,56.1,23.3,32.8,0,0,12.8,1.7,11.1,"2543GB","2543G",1
"2545A","2597",52.0530226817073,4.26308177456596,52.10758,4.313337,1,0,57.8,15.2,32.8,9.8,1,11.4,1.1,10.3,"2545CZ","2545C",1
"2597","2545A",52.10758,4.313337,52.0530226817073,4.26308177456596,0,1,52.4,13.8,34.4,4.2,1,12.6,1,11.6,"-1","-1",1
"2566","2533J",52.08079,4.252308,52.0509015842924,4.29388139874333,0,1,45.2,17.4,21.2,6.7,1,7.2,1.3,5.9,"2531BJ","2531B",1
"2545G","3012",52.04924,4.275293,51.91861,4.476193,1,0,78.4,14.5,57.3,6.7,2,32.5,0.8,31.7,"2545JT","2545J",1
"2545E","2717",52.05389,4.265062,52.07464,4.47427,1,0,67.9,22.9,40.1,4.9,1,21.8,1.7,20.1,"2545CZ","2545C",1
"2717","2545E",52.07464,4.47427,52.05389,4.265062,0,1,66.1,18.2,41.9,6,1,21.4,1.2,20.2,"2545CG","2545C",1
"2573","2533G",52.06537,4.284134,52.0481019628413,4.28904693155921,0,1,28.1,12.3,8.6,7.1,1,3.9,0.9,3,"2545JT","2545J",1
"2533G","2573",52.0481019628413,4.28904693155921,52.06537,4.284134,1,0,24.6,11.7,8.6,4.3,1,3.8,0.9,2.9,"2545JT","2545J",1
"2543A","2288",52.0434639733693,4.26411809103701,52.03277,4.337166,1,0,43.1,22.3,18.7,2.2,1,7.1,1.7,5.4,"2545JT","2545J",1
"2545C","2585",52.0564072356305,4.26594900581208,52.09487,4.296964,1,0,45.6,21.6,24,0,0,8.6,1.6,7,"2545CG","2545C",1
"2585","2545C",52.09487,4.296964,52.0564072356305,4.26594900581208,0,1,43.7,20.4,23.4,0,0,9,1.5,7.5,"2545CG","2545C",1
"2545C","1119",52.0564072356305,4.26594900581208,52.28216,4.760357,1,0,143.6,12.2,115.1,16.3,4,63.6,0.8,62.8,"2545CZ","2545C",1
"1119","2545C",52.28216,4.760357,52.0564072356305,4.26594900581208,0,1,138.6,19,103.7,15.9,4,58.8,1.3,57.5,"2545CG","2545C",1
"2275","2545J",52.06283,4.352716,52.0501761443925,4.27390518499308,0,1,34.1,4.5,29.6,0,0,8.8,0.3,8.5,"2545JT","2545J",1
"2722","2545A",52.05349,4.513164,52.0530226817073,4.26308177456596,0,1,60.4,22,38.4,0,0,21.6,1.5,20.1,"2545CG","2545C",1
"2546C","2624",52.05666,4.273469,51.99516,4.355772,1,0,52.1,17.3,34.9,0,0,12.7,1.3,11.4,"2541AE","2541A",1
"2547","2545J",52.06093,4.266762,52.0501761443925,4.27390518499308,0,1,13.1,6.8,6.3,0,0,1.8,0.5,1.3,"-1","-1",1
"2722","2546X",52.05349,4.513164,52.06074,4.277613,0,1,57.2,17.4,36.5,3.3,1,19.9,1.2,18.7,"2546AD","2546A",1
"2546B","2517",52.05912,4.273997,52.08726,4.285609,1,0,35.8,20.4,11.3,4.1,1,5.1,1.5,3.6,"-1","-1",1
"2517","2533J",52.08726,4.285609,52.0509015842924,4.29388139874333,0,1,38.3,9.7,22.2,6.3,2,7.8,0.7,7.1,"2533SR","2533S",1
"2546X","1171",52.06074,4.277613,52.33033,4.775848,1,0,155.5,16.1,116,23.3,5,69.6,1.1,68.5,"2533SW","2533S",1
"2552","2542E",52.05459,4.247789,52.0358716120214,4.26738012702625,0,1,25.4,10.8,14.6,0,0,5.8,0.8,5,"2543TC","2543T",1
"2533S","2512",52.0553882189754,4.28645029912797,52.07346,4.304762,1,0,22.5,12.4,10.2,0,0,3.5,0.9,2.6,"2533SW","2533S",1
"2511","2545J",52.07851,4.317539,52.0501761443925,4.27390518499308,0,1,25.8,11.6,14.1,0,0,5.1,0.9,4.2,"2545JT","2545J",1
"2545V","9711",52.0500362790353,4.26839997997919,53.21628,6.569368,1,0,506.8,45.5,397.5,63.8,10,307.6,2.7,304.9,"2545CZ","2545C",1
"3012","2546R",51.91861,4.476193,52.05706,4.268876,0,1,74.3,15.7,53.7,4.9,1,32.4,0.8,31.6,"2545CG","2545C",1
"2516","2545J",52.06783,4.338401,52.0501761443925,4.27390518499308,0,1,33.4,4.9,24.5,4,1,8.2,0.3,7.9,"2546AD","2546A",1
"2546X","3012",52.06074,4.277613,51.91861,4.476193,1,0,75.8,15.6,53.5,6.7,2,31.3,0.9,30.4,"2533SW","2533S",1
"3012","2546X",51.91861,4.476193,52.06074,4.277613,0,1,73.5,14.1,51.4,8,2,30.9,0.7,30.2,"2546AD","2546A",1
"2545G","2572",52.0492425239982,4.27529335026369,52.06443,4.29356,1,0,11.7,3.4,8.3,0,0,2.8,0.2,2.6,"2545JT","2545J",1
"2545G","2596",52.0492425239982,4.27529335026369,52.09274,4.319509,1,0,40.3,15.6,24.6,0,0,9.3,1.2,8.1,"2545NW","2545N",1
"2545A","3015",52.0530226817073,4.26308177456596,51.91203,4.468389,1,0,75.1,18.5,54.6,2,1,32.7,1,31.7,"-1","-1",1
"3015","2545A",51.91203,4.468389,52.0530226817073,4.26308177456596,0,1,75.8,19,53.5,3.3,1,32.8,1.1,31.7,"-1","-1",1
"2565","2533S",52.07543,4.258572,52.0553882189754,4.28645029912797,0,1,41.9,27.9,14,0,0,7,2.1,4.9,"2545JT","2545J",1
"2541X","2583",52.0541032153245,4.27432718219758,52.09254,4.256884,1,0,43.3,21.4,19.5,2.4,1,7.5,1.6,5.9,"2541XV","2541X",1
"2583","2541X",52.09254,4.256884,52.0541032153245,4.27432718219758,0,1,45.1,14.7,24.7,5.8,1,9.6,1.1,8.5,"2545GN","2545G",1
"2671","2545A",51.99332,4.208966,52.0530226817073,4.26308177456596,0,1,29.7,12.7,17,0,0,9.5,0.9,8.6,"-1","-1",1
"2541X","2681",52.0541032153245,4.27432718219758,52.03159,4.185465,1,0,36.9,20.5,16.4,0,0,9.3,1.5,7.8,"2545AA","2545A",1
"2681","2541X",52.03159,4.185465,52.0541032153245,4.27432718219758,0,1,36.6,10.8,21.7,4.2,1,9.9,0.8,9.1,"2533AD","2533A",1
"2518","2545J",52.08114,4.294222,52.0501761443925,4.27390518499308,0,1,30.6,9.4,17.4,3.9,1,5.8,0.7,5.1,"2545JT","2545J",1
"2275","2545H",52.06283,4.352716,52.0436878110164,4.28273156391466,0,1,37.2,10.8,20,6.5,1,7.3,0.8,6.5,"2545NW","2545N",1
"2545H","2275",52.0436878110164,4.28273156391466,52.06283,4.352716,1,0,38.2,9.6,20.5,8.2,1,7,0.7,6.3,"2545NW","2545N",1
"2275","2543A",52.06283,4.352716,52.0434639733693,4.26411809103701,0,1,44.3,6.5,33.2,4.6,1,10.4,0.5,9.9,"2545JT","2545J",1
"2275","2533J",52.06283,4.352716,52.0509015842924,4.29388139874333,0,1,35.7,13.1,16.1,6.5,1,6.1,1,5.1,"2532RP","2532R",1
"2544E","2562",52.0464828004557,4.25028829153627,52.07473,4.281926,1,0,28.3,15.6,12.7,0,0,5.3,1.1,4.2,"2544WB","2544W",1
"2562","2544E",52.07473,4.281926,52.0464828004557,4.25028829153627,0,1,29.7,16.5,13.2,0,0,6.5,1.2,5.3,"2544CX","2544C",1
"2525","2543B",52.06238,4.303305,52.0408197781465,4.2614617830182,0,1,27.1,14.9,12.3,0,0,5.3,1.1,4.2,"2543BG","2543B",1
"2525","2542E",52.06238,4.303305,52.0358716120214,4.26738012702625,0,1,35.8,24.3,11.5,0,0,6.2,1.8,4.4,"2543GB","2543G",1
"2333","2546S",52.16816,4.468049,52.05787,4.271055,0,1,90.1,13.9,60.9,15.3,3,25.9,1,24.9,"2533AD","2533A",1
"2333","2542J",52.16816,4.468049,52.0385335010829,4.25810585554739,0,1,94.9,20.8,64.2,9.8,2,26.2,1.6,24.6,"2544GH","2544G",1
"2596","2542K",52.09274,4.319509,52.0364390701642,4.26312437750577,0,1,45.9,16.8,29.1,0,0,11,1.2,9.8,"2543GB","2543G",1
"2245","2543A",52.12127,4.399369,52.0434639733693,4.26411809103701,0,1,89.3,47,32.5,9.8,2,16.2,3.5,12.7,"2544GA","2544G",1
"2545G","3511",52.0492425239982,4.27529335026369,52.08832,5.115988,1,0,195.3,27.2,146.8,21.3,4,95.2,1.3,93.9,"2545JT","2545J",1
"2546R","2624",52.05706,4.268876,51.99516,4.355772,1,0,54.1,16.4,37.7,0,0,13.5,1.2,12.3,"2545CZ","2545C",1
"2624","2546R",51.99516,4.355772,52.05706,4.268876,0,1,49.4,15.7,33.7,0,0,13.9,1.1,12.8,"2545CG","2545C",1
"2545G","2681",52.0492425239982,4.27529335026369,52.03159,4.185465,1,0,40.3,23.9,16.4,0,0,9.6,1.8,7.8,"2545AA","2545A",1
"2545H","2492",52.0436878110164,4.28273156391466,52.06619,4.409169,1,0,46.6,11.1,31.2,4.3,1,12.3,0.8,11.5,"2533CA","2533C",1
"2545G","2526",52.0492425239982,4.27529335026369,52.06804,4.307563,1,0,24.7,13.2,11.5,0,0,4.2,1,3.2,"2545JT","2545J",1
"2593","2542E",52.08531,4.342739,52.0358716120214,4.26738012702625,0,1,49.2,9,32.6,7.6,1,11.2,0.6,10.6,"2545CG","2545C",1
"2533V","2616",52.0502735545728,4.28958147252202,52.01987,4.37823,1,0,51.5,24.6,19.7,7.3,2,11.3,1.9,9.4,"2531BJ","2531B",1
"2562","2545G",52.07473,4.281926,52.0492425239982,4.27529335026369,0,1,26.1,6.7,15.1,4.2,1,5,0.5,4.5,"2545JT","2545J",1
"2275","2542J",52.06283,4.352716,52.0385335010829,4.25810585554739,0,1,47.9,8.7,33.8,5.4,1,10.7,0.6,10.1,"2545JT","2545J",1
"2565","2533H",52.07543,4.258572,52.0487012158308,4.29070086181086,0,1,42.7,28.9,13.9,0,0,5.9,2.2,3.7,"2541EA","2541E",1
"2546T","2284",52.05926,4.276004,52.04115,4.313038,1,0,28.1,19,9.1,0,0,4.5,1.4,3.1,"2533AM","2533A",1
"2284","2546T",52.04115,4.313038,52.05926,4.276004,0,1,27.2,18.3,8.9,0,0,4.4,1.4,3,"2533BA","2533B",1
"2545V","2547",52.0500362790353,4.26839997997919,52.06093,4.266762,1,0,15.6,11,4.6,0,0,1.8,0.8,1,"-1","-1",1
"2541R","2547",52.0430329074203,4.28099566871628,52.06093,4.266762,1,0,24.4,15.3,9.1,0,0,3.8,1.2,2.6,"-1","-1",1
"2541X","1118",52.0541032153245,4.27432718219758,52.30665,4.760595,1,0,139.9,16.1,112.8,11.1,3,58.7,1.1,57.6,"2533AD","2533A",1
"1118","2542K",52.30665,4.760595,52.0364390701642,4.26312437750577,0,1,148.8,24.4,108.2,16.2,4,61.4,1.8,59.6,"2544GH","2544G",1
"2542K","1118",52.0364390701642,4.26312437750577,52.30665,4.760595,1,0,154.3,23,119.1,12.2,3,62.1,1.6,60.5,"2543SW","2543S",1
"1118","2541X",52.30665,4.760595,52.0541032153245,4.27432718219758,0,1,134.1,15.6,102.2,16.2,4,58.6,1.1,57.5,"2541AE","2541A",1
"2541X","2547",52.0541032153245,4.27432718219758,52.06093,4.266762,1,0,13.6,9,4.6,0,0,1.7,0.7,1,"-1","-1",1
"2547","2541X",52.06093,4.266762,52.0541032153245,4.27432718219758,0,1,13.7,11,2.7,0,0,1.8,0.8,1,"-1","-1",1
"2548","2545H",52.02944,4.290399,52.0436878110164,4.28273156391466,0,1,13.2,7,6.1,0,0,2.1,0.5,1.6,"2545HD","2545H",1
"2555","2543A",52.061,4.225491,52.0434639733693,4.26411809103701,0,1,36.3,10.4,20.8,5.1,1,7.8,0.7,7.1,"2533AD","2533A",1
"2543A","2555",52.0434639733693,4.26411809103701,52.061,4.225491,1,0,31.7,9.3,18.1,4.3,1,7,0.7,6.3,"2543AA","2543A",1
"2544C","2562",52.0467546104116,4.25338619540227,52.07473,4.281926,1,0,25.2,12.5,12.7,0,0,5.1,0.9,4.2,"2544WB","2544W",1
"2545E","2563",52.0538899879879,4.26506166395777,52.0727,4.270556,1,0,22.8,11.1,11.7,0,0,5,0.8,4.2,"2545CG","2545C",1
"2563","2545E",52.0727,4.270556,52.0538899879879,4.26506166395777,0,1,26.2,22.6,3.5,0,0,3,1.7,1.3,"2545CG","2545C",1
"2563","2544J",52.0727,4.270556,52.0450156297235,4.25830282422894,0,1,35.7,26.7,9,0,0,5.2,2,3.2,"2543BG","2543B",1
"2545A","2565",52.05302,4.263082,52.07543,4.258572,1,0,28.4,20.6,7.9,0,0,4.3,1.6,2.7,"-1","-1",1
"2565","2545A",52.07543,4.258572,52.0530226817073,4.26308177456596,0,1,29,20.9,8.1,0,0,5,1.6,3.4,"-1","-1",1
"2566","2533H",52.08079,4.252308,52.0487012158308,4.29070086181086,0,1,44.1,25,16.8,2.3,1,6.9,1.9,5,"2541EA","2541E",1
"2548","2544N",52.02944,4.290399,52.0342293799336,4.24498616242454,0,1,40.2,21.5,11.9,6.8,1,6.3,1.6,4.7,"2545NW","2545N",1
"2516","2533C",52.06783,4.338401,52.0487353984816,4.29328303683979,0,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2564","2543A",52.06811,4.258003,52.0434639733693,4.26411809103701,0,1,21.5,4.7,16.8,0,0,6.3,0.3,6,"2543SK","2543S",1
"2565","2543A",52.07543,4.258572,52.0434639733693,4.26411809103701,0,1,34.6,17,17.6,0,0,7.6,1.3,6.3,"2543SK","2543S",1
"2533H","2548",52.0487012158308,4.29070086181086,52.02944,4.290399,1,0,23,15.2,7.8,0,0,4.3,1.1,3.2,"2532EN","2532E",1
"2533S","2526",52.0553882189754,4.28645029912797,52.06804,4.307563,1,0,20.8,16.9,3.9,0,0,2.3,1.2,1.1,"-1","-1",1
"2546V","2624",52.05969,4.275566,51.99516,4.355772,1,0,58.7,23.9,34.9,0,0,13.2,1.8,11.4,"2541AE","2541A",1
"2624","2546V",51.99516,4.355772,52.05969,4.275566,0,1,53.7,23.4,30.3,0,0,13.6,1.7,11.9,"2541XV","2541X",1
"2544E","2584",52.0464828004557,4.25028829153627,52.10258,4.279296,1,0,46.8,13.4,27,6.4,1,9.2,1,8.2,"2544EB","2544E",1
"2552","2545H",52.05459,4.247789,52.0436878110164,4.28273156391466,0,1,26.6,18.4,8.3,0,0,4,1.4,2.6,"2545JT","2545J",1
"2571","2542N",52.06937,4.286918,52.0331301458607,4.25975908904229,0,1,31.4,18.3,13.1,0,0,6.2,1.4,4.8,"2544LS","2544L",1
"2253","2545C",52.13857,4.451775,52.0564072356305,4.26594900581208,0,1,67.3,20.6,42.1,4.6,1,19.8,1.5,18.3,"2545CG","2545C",1
"2545E","1435",52.0538899879879,4.26506166395777,52.25945,4.702336,1,0,142.1,41.6,93.8,6.7,2,57.6,3.1,54.5,"2545CZ","2545C",1
"1435","2545E",52.25945,4.702336,52.0538899879879,4.26506166395777,0,1,158.1,44,94.2,20,2,49.8,3.3,46.5,"2545CG","2545C",1
"1435","2533A",52.25945,4.702336,52.0536330532777,4.27865212084885,0,1,163.8,49,97,17.9,3,58.2,3.6,54.6,"2541AE","2541A",1
"2555","2533S",52.061,4.225491,52.0553882189754,4.28645029912797,0,1,32.9,15.8,17.1,0,0,7.1,1.2,5.9,"2533SW","2533S",1
"2542E","2552",52.0358716120214,4.26738012702625,52.05459,4.247789,1,0,26.7,10.1,16.6,0,0,6.2,0.7,5.5,"2542KG","2542K",1
"2546B","2624",52.05912,4.273997,51.99516,4.355772,1,0,56.2,21.4,34.9,0,0,13,1.6,11.4,"2541AE","2541A",1
"2624","2546B",51.99516,4.355772,52.05912,4.273997,0,1,51.2,20.9,30.3,0,0,13.4,1.6,11.8,"2541XV","2541X",1
"2545G","2515",52.0492425239982,4.27529335026369,52.0727,4.321192,1,0,23.4,11.3,12,0,0,5.4,0.8,4.6,"2545NW","2545N",1
"2245","2533H",52.12127,4.399369,52.0487012158308,4.29070086181086,0,1,78.4,40.5,30.9,6.9,1,14.9,3,11.9,"2533SR","2533S",1
"2547","2541R",52.06093,4.266762,52.0430329074203,4.28099566871628,0,1,25.2,16,9.3,0,0,3.6,1.2,2.4,"-1","-1",1
