"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6"
"2544D","2533K",52.0493517376306,4.25167124379522,52.0516140173519,4.29490608489947,1,1,36,29.5,6.4,0,0,4.6,2.2,2.4,NA
"2544P","2533K",52.0299337341961,4.25081471133695,52.0516140173519,4.29490608489947,1,1,39.3,32.8,6.4,0,0,4.9,2.5,2.4,NA
"2531X","2533K",52.0564879845059,4.29763546300736,52.0516140173519,4.29490608489947,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2543G","2533K",52.0353834676263,4.25634401078893,52.0516140173519,4.29490608489947,1,1,24.5,18.1,6.4,0,0,3.8,1.4,2.4,NA
"2544A","2533K",52.0522111888174,4.2663242263552,52.0516140173519,4.29490608489947,1,1,23.5,18.8,4.8,0,0,2.9,1.4,1.5,NA
"2543V","2533K",52.039653035803,4.25997191228478,52.0516140173519,4.29490608489947,1,1,20.7,14.3,6.4,0,0,3.4,1,2.4,NA
"2546R","2533K",52.0570615813484,4.26887575509814,52.0516140173519,4.29490608489947,1,1,23.1,10,8.9,4.2,1,3.8,0.7,3.1,NA
"2542X","2533K",52.0334239047007,4.25986820932339,52.0516140173519,4.29490608489947,1,1,25.8,19.3,6.4,0,0,3.9,1.5,2.4,NA
"2545W","2533K",52.0509524301826,4.27008583948385,52.0516140173519,4.29490608489947,1,1,23.4,18.7,4.8,0,0,2.9,1.4,1.5,NA
"2531R","2533K",52.0506225328425,4.30711094944945,52.0516140173519,4.29490608489947,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2542W","2533K",52.0340586165648,4.26188960211193,52.0516140173519,4.29490608489947,1,1,23.5,17,6.4,0,0,3.7,1.3,2.4,NA
"2545N","2533K",52.0478918255789,4.27889515568648,52.0516140173519,4.29490608489947,1,1,10.8,7.9,2.9,0,0,1.7,0.6,1.1,NA
"2542C","2533K",52.0375620253995,4.26942353312512,52.0516140173519,4.29490608489947,1,1,15.9,9.5,6.4,0,0,3.1,0.7,2.4,NA
"2541P","2533K",52.0428282252136,4.28029856825596,52.0516140173519,4.29490608489947,1,1,13.2,10.3,2.9,0,0,1.9,0.8,1.1,NA
"2546X","2533K",52.0607363175907,4.27761287481445,52.0516140173519,4.29490608489947,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2542V","2533K",52.0370134259517,4.26626571675762,52.0516140173519,4.29490608489947,1,1,17.1,10.6,6.4,0,0,3.2,0.8,2.4,NA
"2542A","2533K",52.0402034605346,4.27217308358629,52.0516140173519,4.29490608489947,1,1,17.4,11,6.4,0,0,3.2,0.8,2.4,NA
"2533V","2533K",52.0502735545728,4.28958147252202,52.0516140173519,4.29490608489947,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2532E","2533K",52.0475791507598,4.29508668389784,52.0516140173519,4.29490608489947,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2533H","2533K",52.0487012158308,4.29070086181086,52.0516140173519,4.29490608489947,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2531P","2533K",52.0492090305692,4.3034401908163,52.0516140173519,4.29490608489947,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2531C","2533K",52.0558279026928,4.29833090580325,52.0516140173519,4.29490608489947,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2542L","2533K",52.0321711365659,4.26237314917407,52.0516140173519,4.29490608489947,1,1,27,20.6,6.4,0,0,3.9,1.5,2.4,NA
"2542K","2533K",52.0364390701642,4.26312437750577,52.0516140173519,4.29490608489947,1,1,18.6,12.1,6.4,0,0,3.3,0.9,2.4,NA
"2544C","2533K",52.0467546104116,4.25338619540227,52.0516140173519,4.29490608489947,1,1,29.9,23.4,6.4,0,0,4.2,1.8,2.4,NA
"2545A","2533K",52.0530226817073,4.26308177456596,52.0516140173519,4.29490608489947,1,1,27.4,14.2,8.9,4.2,1,4.1,1.1,3,NA
"2531A","2533K",52.0572754569254,4.29968548273034,52.0516140173519,4.29490608489947,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2533A","2533K",52.0536330532777,4.27865212084885,52.0516140173519,4.29490608489947,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2541T","2533K",52.046465644788,4.2793426786611,52.0516140173519,4.29490608489947,1,1,8,5.1,2.9,0,0,1.5,0.4,1.1,NA
"2544A","2533L",52.0522111888174,4.2663242263552,52.0524663644024,4.29612770686802,1,1,27.3,24.4,2.9,0,0,3,1.8,1.2,NA
"2543C","2533L",52.0384390330544,4.25641060632753,52.0524663644024,4.29612770686802,1,1,25.9,19.5,6.4,0,0,3.8,1.4,2.4,NA
"2542L","2533L",52.0321711365659,4.26237314917407,52.0524663644024,4.29612770686802,1,1,28.2,21.8,6.4,0,0,4,1.6,2.4,NA
