"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6"
"2542X","2554",52.0334239047007,4.25986820932339,52.06499,4.219691,1,0,41.1,11,27.2,3,1,9.9,0.8,9.1,"2533AD"
"2554","2542X",52.06499,4.219691,52.0334239047007,4.25986820932339,0,1,40.4,11.1,26.8,2.4,1,9.7,0.8,8.9,"2542LM"
"2542N","2713",52.0331301458607,4.25975908904229,52.05438,4.484199,1,0,71.1,21.3,45.6,4.1,1,22.5,1.6,20.9,"2543GR"
"2542C","1075",52.0375620253995,4.26942353312512,52.35212,4.859065,1,0,174.8,21.2,139.1,14.5,4,74.2,1.4,72.8,"2543SW"
"1075","2542C",52.35212,4.859065,52.0375620253995,4.26942353312512,0,1,184.8,18.6,132.3,33.9,5,74.6,1.3,73.3,"2545CG"
"2542N","3068",52.0331301458607,4.25975908904229,51.95814,4.551728,1,0,113.6,39,71.5,3,1,44.9,2.6,42.3,"-1"
"2295","2544J",52.01373,4.261795,52.0450156297235,4.25830282422894,0,1,44.5,38.6,5.9,0,0,5,2.9,2.1,"-1"
"2671","2542A",51.99332,4.208966,52.0402034605346,4.27217308358629,0,1,45.1,9.9,30.2,5,1,13.2,0.7,12.5,"2543SN"
"2542C","2274",52.0375620253995,4.26942353312512,52.07387,4.350349,1,0,44.6,9.9,31,3.6,1,11.1,0.7,10.4,"2543SW"
"2274","2542C",52.07387,4.350349,52.0375620253995,4.26942353312512,0,1,53.3,6.8,32.2,14.3,2,11.4,0.5,10.9,"2545CG"
"2542H","2671",52.0349695853731,4.26757165878612,51.99332,4.208966,1,0,41.5,24.5,17,0,0,7.8,1.8,6,"-1"
"2671","2542H",51.99332,4.208966,52.0349695853731,4.26757165878612,0,1,40.8,26.8,14,0,0,7.8,2,5.8,"-1"
"2542E","1118",52.0358716120214,4.26738012702625,52.30665,4.760595,1,0,155.3,24.1,119.1,12.2,3,62.1,1.6,60.5,"2543SW"
"2542W","2252",52.0340586165648,4.26188960211193,52.11727,4.425454,1,0,82.4,26.4,52.4,3.6,1,21.1,1.9,19.2,"2543SW"
"2252","2542W",52.11727,4.425454,52.0340586165648,4.26188960211193,0,1,77.6,22.4,47.5,7.6,2,20.1,1.6,18.5,"2544LS"
"2595","2542P",52.08087,4.334532,52.0353382689111,4.2680460825945,0,1,47.4,8.2,28.7,10.4,1,10.3,0.6,9.7,"2545CG"
"2542W","2548",52.0340586165648,4.26188960211193,52.02944,4.290399,1,0,27.6,25.2,2.5,0,0,3.2,1.9,1.3,"2545DM"
"2548","2542W",52.02944,4.290399,52.0340586165648,4.26188960211193,0,1,28.1,24,4.1,0,0,3.8,1.8,2,"2545DM"
"2542W","2525",52.0340586165648,4.26188960211193,52.06238,4.303305,1,0,33.4,23.6,9.7,0,0,5.7,1.8,3.9,"2543SW"
"2525","2542W",52.06238,4.303305,52.0340586165648,4.26188960211193,0,1,29.3,17.8,11.5,0,0,5.7,1.3,4.4,"2543GB"
"2512","2544L",52.07346,4.304762,52.0351167857076,4.25190836738485,0,1,26.3,6.8,19.5,0,0,6.9,0.5,6.4,"2544LS"
"2544L","2512",52.0351167857076,4.25190836738485,52.07346,4.304762,1,0,29,7.6,21.4,0,0,7,0.5,6.5,"2543GR"
"4284","2542N",51.80003,5.0086,52.0331301458607,4.25975908904229,0,1,233.2,24,172.9,36.2,5,108.6,1.4,107.2,"2543GB"
"4284","2542X",51.80003,5.0086,52.0334239047007,4.25986820932339,0,1,233.5,24.4,172.9,36.2,5,108.6,1.4,107.2,"2543GB"
"2542B","2681",52.0380578144935,4.26687162425886,52.03159,4.185465,1,0,39.2,10.6,26.6,2.1,1,11.9,0.8,11.1,"2542BK"
"2681","2542B",52.03159,4.185465,52.0380578144935,4.26687162425886,0,1,45,10.7,28.4,5.9,1,11.9,0.8,11.1,"2543SN"
"2542V","1118",52.0370134259517,4.26626571675762,52.30665,4.760595,1,0,152.8,21.6,119.1,12.2,3,62,1.5,60.5,"2543SW"
"1118","2542V",52.30665,4.760595,52.0370134259517,4.26626571675762,0,1,152.8,28.4,108.2,16.2,4,61.7,2.1,59.6,"2544GH"
"2542T","2596",52.0387486365841,4.27284350201484,52.09274,4.319509,1,0,45,16.8,28.2,0,0,10.6,1.2,9.4,"2543SW"
"2543B","2741",52.0408197781465,4.2614617830182,52.03917,4.666907,1,0,127.7,45,75.8,6.9,1,42,3.4,38.6,"2543SW"
"2741","2542V",52.03917,4.666907,52.0370134259517,4.26626571675762,0,1,102.1,35.9,61.6,4.6,2,38,2.7,35.3,"2545JT"
"2262","2542N",52.09115,4.387253,52.0331301458607,4.25975908904229,0,1,58.8,16.2,40.4,2.2,1,14.3,1.1,13.2,"2544LS"
