"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6"
"2541S","2543R",52.0445572834749,4.27949028631981,52.0428928838003,4.26639256132776,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2533G","2543R",52.0481019628413,4.28904693155921,52.0428928838003,4.26639256132776,1,1,19.7,8.3,6.9,4.5,1,3.2,0.6,2.6,NA
"2542P","2543R",52.0353382689111,4.2680460825945,52.0428928838003,4.26639256132776,1,1,11.4,7.4,4,0,0,1.8,0.5,1.3,NA
"2543V","2543R",52.039653035803,4.25997191228478,52.0428928838003,4.26639256132776,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2545V","2543R",52.0500362790353,4.26839997997919,52.0428928838003,4.26639256132776,1,1,10.7,8.4,2.3,0,0,1.6,0.6,1,NA
"2533C","2543R",52.0487353984816,4.29328303683979,52.0428928838003,4.26639256132776,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2533L","2543R",52.0524663644024,4.29612770686802,52.0428928838003,4.26639256132776,1,1,24.7,21.8,2.9,0,0,2.8,1.6,1.2,NA
"2544H","2543R",52.0457978448674,4.26058713725417,52.0428928838003,4.26639256132776,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2545L","2543R",52.0473179346973,4.27470088904843,52.0428928838003,4.26639256132776,1,1,12.8,9.2,3.6,0,0,2.2,0.7,1.5,NA
"2543G","2543R",52.0353834676263,4.25634401078893,52.0428928838003,4.26639256132776,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2542L","2543R",52.0321711365659,4.26237314917407,52.0428928838003,4.26639256132776,1,1,13.6,9.6,4,0,0,2,0.7,1.3,NA
"2545A","2543R",52.0530226817073,4.26308177456596,52.0428928838003,4.26639256132776,1,1,18.4,11.3,7.1,0,0,3.2,0.8,2.4,NA
"2545S","2543R",52.0474238438796,4.27219725060486,52.0428928838003,4.26639256132776,1,1,10.2,7.9,2.3,0,0,1.6,0.6,1,NA
"2541V","2543R",52.051437567357,4.27771245840659,52.0428928838003,4.26639256132776,1,1,10.8,7.2,3.6,0,0,2,0.5,1.5,NA
"2533B","2543R",52.0486872890598,4.28410221908171,52.0428928838003,4.26639256132776,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2543C","2543R",52.0384390330544,4.25641060632753,52.0428928838003,4.26639256132776,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2531K","2543R",52.0441343141771,4.29620031203014,52.0428928838003,4.26639256132776,1,1,22,8.6,9.2,4.2,1,3.5,0.6,2.9,NA
"2543B","2543R",52.0408197781465,4.2614617830182,52.0428928838003,4.26639256132776,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2531S","2543R",52.0566910715675,4.30682838231389,52.0428928838003,4.26639256132776,1,1,30.2,24.2,6,0,0,4.3,1.8,2.5,NA
"2533K","2543R",52.0516140173519,4.29490608489947,52.0428928838003,4.26639256132776,1,1,23.5,20.6,2.9,0,0,2.7,1.5,1.2,NA
"2545B","2543R",52.0438369470538,4.274959863301,52.0428928838003,4.26639256132776,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2533J","2543R",52.0509015842924,4.29388139874333,52.0428928838003,4.26639256132776,1,1,22.5,19.6,2.9,0,0,2.6,1.4,1.2,NA
"2544R","2543R",52.0399609296029,4.25012156605765,52.0428928838003,4.26639256132776,1,1,12.4,9,3.4,0,0,1.8,0.6,1.2,NA
"2541G","2543R",52.0404321384295,4.26716988682793,52.0428928838003,4.26639256132776,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2543T","2543R",52.0398470736153,4.26367783290026,52.0428928838003,4.26639256132776,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2533E","2543R",52.0527763542252,4.29327791610092,52.0428928838003,4.26639256132776,1,1,21.3,18.4,2.9,0,0,2.5,1.4,1.1,NA
