"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6"
"2542J","2262",52.0385335010829,4.25810585554739,52.09115,4.387253,1,0,57.4,13.2,38.9,5.4,1,13.5,0.9,12.6,"2542JH"
"2262","2542J",52.09115,4.387253,52.0385335010829,4.25810585554739,0,1,54.4,14,38.2,2.2,1,13.2,1,12.2,"2544GH"
"2681","2542J",52.03159,4.185465,52.0385335010829,4.25810585554739,0,1,49.1,16.6,26.7,5.9,1,11.9,1.3,10.6,"2543SK"
"2544V","2353",52.0454790140349,4.25995965447312,52.16652,4.53855,1,0,110.3,22.9,73.8,13.6,3,37.3,1.6,35.7,"2543AA"
"2353","2544V",52.16652,4.53855,52.0454790140349,4.25995965447312,0,1,96.8,16,67.1,13.8,3,28.8,1.1,27.7,"2544GA"
"2544V","2382",52.0454790140349,4.25995965447312,52.12776,4.522523,1,0,112.2,52.6,54.7,4.9,1,32.7,3.9,28.8,"2544WB"
"2382","2544V",52.12776,4.522523,52.0454790140349,4.25995965447312,0,1,109.5,46.9,52,10.6,2,31.5,3.4,28.1,"2544GA"
"2544W","2713",52.0467602067797,4.25796164603099,52.05438,4.484199,1,0,58.9,16.8,42,0,0,21.4,1.2,20.2,"2544WB"
"2713","2544W",52.05438,4.484199,52.0467602067797,4.25796164603099,0,1,64.8,21.6,39.9,3.3,1,20.9,1.5,19.4,"2544GA"
"2544C","2553",52.0467546104116,4.25338619540227,52.04493,4.221591,1,0,27.4,24.7,2.7,0,0,3.2,1.9,1.3,"-1"
"2553","2544C",52.04493,4.221591,52.0467546104116,4.25338619540227,0,1,28,25,3,0,0,3.2,1.9,1.3,"-1"
"2525","2544N",52.06238,4.303305,52.0342293799336,4.24498616242454,0,1,36.7,22,14.6,0,0,6.6,1.6,5,"2544RM"
"2585","2543S",52.09487,4.296964,52.0403612649755,4.26585945503325,0,1,49.6,18.4,31.2,0,0,11.5,1.4,10.1,"2543SL"
"2543S","2512",52.0403612649755,4.26585945503325,52.07346,4.304762,1,0,26.5,8.8,17.6,0,0,5.8,0.7,5.1,"2543BG"
"2544T","2291",52.043708831961,4.25562360610011,52.01948,4.277017,1,0,37.8,32.5,5.2,0,0,4.4,2.4,2,"-1"
"2291","2544T",52.01948,4.277017,52.043708831961,4.25562360610011,0,1,39.4,34.9,4.5,0,0,4.2,2.6,1.6,"-1"
"2544T","2512",52.043708831961,4.25562360610011,52.07346,4.304762,1,0,24.1,6.3,17.8,0,0,6.1,0.4,5.7,"2544WB"
"2544X","2671",52.0485769204117,4.25873629594925,51.99332,4.208966,1,0,31.6,15,16.6,0,0,9.4,1.1,8.3,"-1"
"2671","2544X",51.99332,4.208966,52.0485769204117,4.25873629594925,0,1,30.9,14.7,16.2,0,0,9.1,1.1,8,"2544EZ"
"2542J","2671",52.0385335010829,4.25810585554739,51.99332,4.208966,1,0,41.5,25.6,16,0,0,8.9,1.9,7,"-1"
"2671","2542J",51.99332,4.208966,52.0385335010829,4.25810585554739,0,1,39.3,26.3,13,0,0,8.7,1.9,6.8,"2544EC"
"2544H","2671",52.0457978448674,4.26058713725417,51.99332,4.208966,1,0,36.7,18.1,18.6,0,0,9.6,1.3,8.3,"-1"
"2544G","2525",52.0425265562463,4.25954339365026,52.06238,4.303305,1,0,26.8,13.6,13.1,0,0,5,1,4,"2543BG"
"2525","2544G",52.06238,4.303305,52.0425265562463,4.25954339365026,0,1,24,11.8,12.3,0,0,5.1,0.9,4.2,"2543BG"
"2544K","2521",52.0441502180298,4.25828520254179,52.06328,4.318427,1,0,36.7,23.9,12.8,0,0,6.8,1.8,5,"2543SW"
"2521","2544K",52.06328,4.318427,52.0441502180298,4.25828520254179,0,1,37.4,16.6,17.3,3.5,1,7.1,1.2,5.9,"2543BG"
"2284","2544K",52.04115,4.313038,52.0441502180298,4.25828520254179,0,1,25.3,6.8,14.3,4.2,1,5.5,0.5,5,"2545JT"
"2544K","2681",52.0441502180298,4.25828520254179,52.03159,4.185465,1,0,44.5,30,14.5,0,0,9.3,2.3,7,"-1"
"2544T","2585",52.043708831961,4.25562360610011,52.09487,4.296964,1,0,47.5,13.6,29.5,4.4,2,9.6,1,8.6,"2544WB"
"2544V","2597",52.0454790140349,4.25995965447312,52.10758,4.313337,1,0,64.1,27.1,32.5,4.4,2,11.8,2,9.8,"2544WB"
"2544K","1043",52.0441502180298,4.25828520254179,52.38991,4.823093,1,0,191.4,34.7,138.4,18.3,4,75.3,2.4,72.9,"2544WB"
"1043","2544J",52.38991,4.823093,52.0450156297235,4.25830282422894,0,1,201.2,35.2,140.6,25.4,3,74.1,2.6,71.5,"2544CX"
"1043","2544K",52.38991,4.823093,52.0441502180298,4.25828520254179,0,1,195.3,26.9,138.8,29.7,4,71.9,2,69.9,"2543BG"
"2544T","2591",52.043708831961,4.25562360610011,52.0935,4.364334,1,0,46.6,7.2,32.3,7.1,1,10.9,0.5,10.4,"2544WB"
"2591","2544T",52.0935,4.364334,52.043708831961,4.25562360610011,0,1,43.9,8.7,31.1,4,1,10.6,0.6,10,"2543BG"
"2544T","2548",52.043708831961,4.25562360610011,52.02944,4.290399,1,0,33.6,14.4,15.2,4.1,1,5.8,1.1,4.7,"2541AE"
"2548","2544T",52.02944,4.290399,52.043708831961,4.25562360610011,0,1,36.2,18.6,9.8,7.8,1,5.6,1.4,4.2,"2545NW"
"2544R","2512",52.0399609296029,4.25012156605765,52.07346,4.304762,1,0,26,5.8,20.3,0,0,6.4,0.4,6,"2543EB"
"2544K","2553",52.0441502180298,4.25828520254179,52.04493,4.221591,1,0,37.6,14.6,14.7,8.3,1,6.8,1.1,5.7,"2545AA"
"2544T","2583",52.043708831961,4.25562360610011,52.09254,4.256884,1,0,49.6,17.2,21.3,11.1,2,9,1.2,7.8,"2544WB"
"2583","2544T",52.09254,4.256884,52.043708831961,4.25562360610011,0,1,54,19.5,28.8,5.8,1,11.4,1.5,9.9,"2544GA"
"2544V","2585",52.0454790140349,4.25995965447312,52.09487,4.296964,1,0,50.4,16.4,29.5,4.4,2,9.8,1.2,8.6,"2544WB"
"2585","2544V",52.09487,4.296964,52.0454790140349,4.25995965447312,0,1,51.1,21.9,29.2,0,0,11,1.7,9.3,"2544GA"
"2544M","2284",52.0396112782528,4.25129396965672,52.04115,4.313038,1,0,26.9,7.8,16.9,2.2,1,6.3,0.6,5.7,"2545JT"
"2284","2544M",52.04115,4.313038,52.0396112782528,4.25129396965672,0,1,28.3,7.4,16.7,4.2,1,6.3,0.5,5.8,"2545JT"
